 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,18496.500,179.914,1241.379,80.460,153.435,149.425
2,10701.546,262.109,2103.448,57.471,105.255,104.058
3,4095.654,109.044,2862.069,172.414,18.435,82.293
4,57999.739,388.941,4402.299,229.885,161.030,292.040
5,16911.086,198.422,2678.161,333.333,79.992,137.931
6,41220.771,390.805,6011.494,275.862,151.928,209.926
7,25762.982,260.593,1390.805,379.310,138.576,154.265
8,26819.925,338.251,7114.943,379.310,99.782,148.857
9,60906.331,367.996,4252.874,793.103,75.530,285.151
10,8719.778,153.352,494.253,459.770,102.995,131.906
11,13079.668,211.319,1206.897,574.713,22.380,111.983
12,33822.171,252.351,977.012,586.207,149.931,215.073
13,11758.489,156.339,2954.023,655.172,72.897,124.749
14,27612.632,265.365,1678.161,597.701,107.650,208.784
15,36068.175,252.351,4425.287,839.080,30.069,217.322
16,39106.885,375.283,6206.897,655.172,152.650,172.198
17,31840.403,349.584,4643.678,839.080,27.408,187.809
18,36332.410,280.610,3298.851,712.644,145.008,179.972
19,26159.335,232.741,1850.575,712.644,110.225,146.298
20,29065.928,252.089,3712.644,908.046,46.848,195.402
21,93671.560,528.861,5344.828,724.138,137.643,287.152
22,56414.324,370.679,5862.069,942.529,172.875,305.953
23,21535.210,204.649,1425.287,850.575,141.843,172.414
24,14136.611,190.264,1298.851,1022.989,64.983,138.139
25,29330.164,279.667,6678.161,862.069,99.462,191.081
26,42674.067,438.141,2264.368,919.540,94.514,188.209
27,132514.209,710.043,6425.288,919.540,119.055,447.235
28,8719.778,197.755,2678.161,954.023,144.462,89.788
29,33690.053,236.960,22.989,1080.460,14.036,215.960
30,46109.132,345.019,4655.173,1034.483,150.018,263.029
31,5416.832,138.886,6172.414,1126.437,65.556,90.891
32,4888.361,108.437,6988.506,1103.448,32.005,80.460
33,36860.882,290.784,1528.736,1321.839,18.435,200.011
34,50469.021,421.543,5114.943,1298.851,168.996,252.874
35,6473.775,196.750,620.690,1206.897,96.710,91.730
36,10437.311,203.354,1942.529,1390.805,47.291,115.778
37,6605.893,187.113,2252.874,1425.287,10.620,66.917
38,20346.150,255.214,1988.506,1643.678,82.235,154.293
39,4359.889,149.425,1620.690,1505.747,22.620,73.356
40,25762.982,262.613,5712.644,1425.287,156.801,126.437
41,157748.720,791.770,5643.678,1413.793,99.189,369.711
42,6341.657,163.364,5091.954,1574.713,39.289,95.711
43,25630.864,220.797,3689.655,1586.207,128.660,179.537
44,55225.264,563.687,4724.138,1793.103,16.587,200.211
45,20610.385,374.226,4413.793,1609.195,132.510,161.226
46,4095.654,134.537,241.379,1678.161,160.017,60.901
47,4227.771,128.510,3310.345,1770.115,100.305,68.966
48,7266.482,163.364,3988.506,1977.012,39.289,116.370
49,6738.011,134.537,724.138,1965.517,19.983,113.787
50,4492.007,92.670,4574.713,1954.023,29.745,80.460
51,16514.732,225.826,1436.782,1931.035,104.744,126.307
52,21931.564,232.741,965.517,2195.402,69.775,148.670
53,6473.775,124.329,3459.770,2160.920,123.690,101.286
54,10569.428,144.023,2885.058,2298.851,118.610,103.448
55,7266.482,160.096,1022.989,2413.793,21.038,99.716
56,7794.953,185.339,5540.230,2517.241,29.745,105.660
57,36464.528,300.833,5919.540,2494.253,6.582,172.414
58,95785.445,532.471,4793.104,2965.517,76.264,298.851
59,12419.078,191.302,850.575,2551.724,147.265,120.955
60,21667.328,309.492,1436.782,2712.644,31.329,202.573
61,6870.128,120.004,6448.276,2620.690,163.301,91.954
62,14929.318,181.740,379.310,2862.069,71.565,146.298
63,6605.893,219.597,1586.207,2873.563,42.879,65.997
64,32500.992,236.960,6103.448,2781.609,104.036,206.897
65,7530.718,142.176,1620.690,2931.035,14.036,105.438
66,10569.428,167.359,5252.874,2977.012,15.945,104.742
67,9776.721,139.834,6310.345,2885.058,99.462,113.123
68,20610.385,196.414,609.195,2988.506,159.444,157.883
69,4888.361,118.341,2908.046,3011.494,119.055,87.392
70,23252.743,243.830,2563.218,3057.471,98.130,195.159
71,19157.089,229.885,7149.425,3068.966,126.870,160.832
72,47958.782,342.907,5252.874,3068.966,103.570,260.880
73,24838.157,257.019,942.529,3275.862,26.565,172.414
74,9776.721,211.944,1287.356,3333.333,49.399,122.247
75,15986.261,213.805,241.379,3264.368,126.254,125.722
76,5020.479,134.045,4321.839,3310.345,120.964,81.536
77,138459.513,763.222,4632.184,3344.828,127.042,512.043
78,10437.311,169.711,80.460,3494.253,28.301,102.076
79,6473.775,175.452,5563.219,3563.218,58.392,119.180
80,116660.067,494.387,6620.690,3701.150,17.592,403.575
81,9512.486,203.354,781.609,3505.747,132.709,97.532
82,22460.035,317.915,5643.678,3850.575,77.471,145.325
83,4492.007,195.740,5252.874,3586.207,139.764,54.298
84,12551.196,179.546,5436.782,3724.138,50.194,137.292
85,156295.423,704.533,862.069,4000.000,33.690,442.699
86,38182.060,349.584,2494.253,4011.494,46.332,182.181
87,5548.950,102.808,45.977,3758.621,116.565,68.966
88,22460.035,221.991,379.310,3758.621,111.251,163.645
89,30651.343,295.516,4505.747,4068.966,76.504,173.266
90,4359.889,175.452,1816.092,3816.092,121.608,63.090
91,135685.038,750.655,264.368,3954.023,115.388,345.327
92,24838.157,236.960,3310.345,4057.471,14.036,174.528
93,7927.071,169.711,6379.311,4103.448,28.301,95.711
94,13872.375,355.022,1459.770,4103.448,119.055,166.673
95,16514.732,207.216,5827.586,4195.402,160.560,148.322
96,5548.950,151.183,1666.667,4172.414,98.746,66.695
97,10305.193,236.960,7126.437,4264.368,112.834,137.590
98,9908.839,246.792,6241.379,4413.793,27.759,87.243
99,4888.361,145.392,4505.747,4436.782,71.565,71.345
100,185625.587,893.082,6597.701,4356.322,121.849,598.084
101,4888.361,122.186,172.414,4356.322,131.186,73.149
102,4227.771,138.886,701.149,4402.299,24.444,80.460
103,20346.150,218.088,4264.368,4425.287,161.565,144.772
