 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret,Sample,Depths,Date,Analyst,Other info
1,9512.486,265.365,6965.517,275.862,85.030,75.537,0,0,0,0,0
2,7662.836,131.055,3827.586,241.379,37.875,80.460,0,0,0,0,0
3,16778.968,258.301,5862.069,264.368,147.724,181.823,0,0,0,0,0
4,5020.479,159.683,2471.264,367.816,59.744,87.451,0,0,0,0,0
5,7530.718,169.711,4321.839,344.828,28.301,89.404,0,0,0,0,0
6,9116.132,187.113,6896.552,264.368,132.510,130.043,0,0,0,0,0
7,56017.971,465.482,6908.046,793.103,122.905,336.865,0,0,0,0,0
8,5020.479,102.808,2609.195,942.529,116.565,79.782,0,0,0,0,0
9,23120.625,234.438,2747.127,1034.483,168.690,171.992,0,0,0,0,0
10,28141.103,784.478,6321.839,1022.989,129.053,231.789,0,0,0,0,0
11,7002.246,257.019,6057.471,1149.425,26.565,89.600,0,0,0,0,0
12,6870.128,294.621,6045.977,1160.920,110.556,64.762,0,0,0,0,0
13,5813.186,118.341,3528.736,1402.299,119.055,77.135,0,0,0,0,0
14,379706.717,863.983,5816.092,1540.230,130.684,647.348,0,0,0,0,0
15,5548.950,190.264,609.195,1678.161,25.017,59.552,0,0,0,0,0
16,4624.125,242.472,321.839,1632.184,174.560,57.471,0,0,0,0,0
17,51658.082,519.281,1620.690,1620.690,117.699,344.152,0,0,0,0,0
18,5152.596,123.797,1701.149,1678.161,21.801,70.198,0,0,0,0,0
19,30783.460,351.844,2827.586,1885.058,38.367,184.831,0,0,0,0,0
20,10305.193,149.867,4770.115,1643.678,122.471,126.437,0,0,0,0,0
21,27480.514,223.178,827.586,1919.540,101.889,172.701,0,0,0,0,0
22,35803.939,252.351,5344.828,1977.012,149.931,206.897,0,0,0,0,0
23,27348.396,218.088,2183.908,2126.437,18.435,183.908,0,0,0,0,0
24,35803.939,392.323,666.667,2632.184,58.173,244.910,0,0,0,0,0
25,84951.781,414.431,7045.977,2517.241,123.690,356.322,0,0,0,0,0
26,43070.421,273.215,6620.690,3183.908,75.379,217.495,0,0,0,0,0
27,10040.957,144.023,1103.448,3367.816,118.610,112.680,0,0,0,0,0
28,11494.253,229.021,1310.345,3666.667,72.474,103.448,0,0,0,0,0
29,17043.203,207.216,6850.575,3494.253,123.690,162.553,0,0,0,0,0
30,450125.534,1056.596,3241.379,4080.460,30.750,685.537,0,0,0,0,0
31,790461.130,1476.508,4586.207,5000.000,78.778,846.025,0,0,0,0,0
32,72664.821,443.982,5287.356,3747.127,158.749,241.379,0,0,0,0,0
33,6870.128,124.329,2137.931,3758.621,123.690,91.954,0,0,0,0,0
34,38182.060,283.887,5436.782,4103.448,158.629,206.286,0,0,0,0,0
35,5813.186,170.874,5850.575,4540.230,70.346,60.037,0,0,0,0,0
36,4624.125,124.329,494.253,4402.299,123.690,91.954,0,0,0,0,0
37,6341.657,192.679,6160.920,4505.747,107.354,71.768,0,0,0,0,0
38,5945.304,172.414,6390.805,4551.724,126.870,89.313,0,0,0,0,0
39,10437.311,184.267,6287.356,4574.713,93.576,132.185,0,0,0,0,0
40,4756.243,140.305,252.874,4701.150,55.008,70.510,0,0,0,0,0
41,4492.007,153.352,6459.770,4701.150,102.995,96.130,0,0,0,0,0
42,75571.413,390.466,5643.678,5126.437,42.614,268.213,0,0,0,0,0
43,5548.950,142.176,2574.713,241.379,104.036,87.326,0,0,0,0,0
44,47430.310,334.125,459.770,471.264,176.055,195.402,0,0,0,0,0
45,5945.304,236.960,183.908,2264.368,140.906,84.528,0,0,0,0,0
46,54564.674,329.346,6000.000,3413.793,60.751,240.622,0,0,0,0,0
47,18892.853,232.457,367.816,3413.793,8.531,170.681,0,0,0,0,0
48,101466.513,542.548,68.966,3885.058,53.616,315.889,0,0,0,0,0
49,203065.144,603.202,1804.598,4471.264,30.964,482.028,0,0,0,0,0
50,5416.832,153.352,103.448,4379.310,12.995,80.460,0,0,0,0,0
51,17968.028,178.809,3482.759,4505.747,135.000,149.141,0,0,0,0,0
52,34086.407,322.044,3586.207,4954.023,55.176,186.061,0,0,0,0,0
53,88122.610,446.356,6632.184,5091.954,34.509,300.724,0,0,0,0,0
54,157616.602,520.424,5000.000,5333.333,59.470,440.552,0,0,0,0,0
55,7794.953,145.392,1183.908,5183.908,18.435,92.608,0,0,0,0,0
56,4624.125,94.784,4011.494,5275.862,165.964,68.966,SP_SS_1A_40,Enter Depth Range,Date of Analysis,Analyst Name or Initials,Other Pertinent Information
57,36464.528,351.657,5551.724,390.805,101.310,187.645,0,0,0,0,0
58,19289.207,278.246,5896.552,413.793,141.710,158.574,0,0,0,0,0
59,59056.681,382.087,2517.241,632.184,21.161,251.898,0,0,0,0,0
60,28273.221,262.361,6390.805,965.517,151.189,155.023,0,0,0,0,0
61,117584.892,462.635,2126.437,1425.287,63.435,373.893,0,0,0,0,0
62,9908.839,290.102,1609.195,1172.414,123.690,86.034,0,0,0,0,0
63,100013.217,530.731,1436.782,1689.655,72.350,423.025,0,0,0,0,0
64,11362.136,169.711,4126.437,1793.103,118.301,131.906,0,0,0,0,0
65,22063.682,200.739,1172.414,2000.000,76.759,162.646,0,0,0,0,0
66,25102.393,283.887,1620.690,1862.069,158.629,172.414,0,0,0,0,0
67,24045.450,255.214,931.035,2126.437,97.765,126.437,0,0,0,0,0
68,6870.128,160.096,4000.000,2367.816,111.038,67.698,0,0,0,0,0
69,21667.328,231.032,2068.966,2735.632,84.289,145.475,0,0,0,0,0
70,17439.557,185.695,2321.839,3011.494,68.199,137.931,0,0,0,0,0
71,22195.800,262.109,2114.943,2954.023,127.875,146.298,0,0,0,0,0
72,27348.396,257.019,5632.184,3022.989,153.435,167.976,0,0,0,0,0
73,13608.139,165.772,2689.655,3229.885,123.690,122.711,0,0,0,0,0
74,20214.032,191.302,3333.333,3356.322,147.265,137.931,0,0,0,0,0
75,57735.503,520.805,206.897,3735.632,157.964,324.377,0,0,0,0,0
76,9644.603,156.339,586.207,3678.161,143.973,105.660,0,0,0,0,0
77,16382.614,175.452,4390.805,3942.529,58.392,130.043,0,0,0,0,0
78,35143.350,269.319,5045.977,4287.356,39.806,204.963,0,0,0,0,0
79,26952.043,257.019,6298.851,4643.678,63.435,172.414,0,0,0,0,0
80,11626.371,142.176,5574.713,4827.586,75.964,121.915,0,0,0,0,0
81,25498.746,240.007,4896.552,5379.310,73.301,160.920,SP_SS_1A_40,Enter Depth Range,Date of Analysis,Analyst Name or Initials,Other Pertinent Information
82,57867.621,331.545,3275.862,528.736,56.310,264.368,0,0,0,0,0
83,4095.654,146.298,264.368,758.621,135.000,81.277,0,0,0,0,0
84,8984.014,294.397,2620.690,1172.414,38.660,97.330,0,0,0,0,0
85,48223.017,312.677,3068.966,1333.333,72.897,284.074,0,0,0,0,0
86,8191.307,134.537,3793.104,1367.816,109.983,113.787,0,0,0,0,0
87,43070.421,279.667,5988.506,1747.126,99.462,235.207,0,0,0,0,0
88,78213.771,419.501,4252.874,2344.828,9.462,332.250,0,0,0,0,0
89,332012.171,1325.034,1091.954,2965.517,3.979,982.913,0,0,0,0,0
90,8455.543,195.402,4977.012,2482.759,151.928,105.077,0,0,0,0,0
91,82837.896,552.322,6827.586,2597.701,102.011,398.098,0,0,0,0,0
92,7134.364,196.414,5252.874,2758.621,110.556,71.089,0,0,0,0,0
93,10701.546,207.216,5022.989,2954.023,56.310,95.196,0,0,0,0,0
94,21931.564,189.568,6287.356,2850.575,165.964,165.573,0,0,0,0,0
95,14004.493,178.809,4793.104,2942.529,135.000,126.437,0,0,0,0,0
96,4095.654,124.329,7149.425,3114.943,33.690,83.287,0,0,0,0,0
97,205311.148,671.504,2528.736,3126.437,96.882,429.088,0,0,0,0,0
98,29330.164,589.017,6839.081,3712.644,84.401,176.216,0,0,0,0,0
99,5284.714,149.867,7183.908,3218.391,122.471,84.434,0,0,0,0,0
100,7398.600,234.438,5954.023,3390.805,101.310,111.689,0,0,0,0,0
101,91029.203,589.242,6034.483,3528.736,110.556,394.766,0,0,0,0,0
102,13343.903,203.679,3103.448,3827.586,73.610,103.448,0,0,0,0,0
103,1125776.248,2371.329,1229.885,3908.046,141.297,876.792,0,0,0,0,0
104,5548.950,140.305,80.460,4091.954,55.008,101.680,0,0,0,0,0
105,31972.521,296.632,3160.920,4655.173,54.462,195.546,0,0,0,0,0
106,4492.007,144.023,471.264,4942.529,28.610,113.787,0,0,0,0,0
107,5020.479,156.339,620.690,5034.483,126.027,134.662,SP_SS_1A_40,Enter Depth Range,Date of Analysis,Analyst Name or Initials,Other Pertinent Information
