 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret,Sample,Depths,Date,Analyst,Other info
1,265556.890,807.221,3954.023,137.931,109.983,547.428,0,0,0,0,0
2,12286.961,185.695,5206.897,206.897,158.199,118.252,0,0,0,0,0
3,21535.210,262.109,6114.943,379.310,52.125,162.553,0,0,0,0,0
4,40163.828,376.514,6597.701,609.195,31.264,188.417,0,0,0,0,0
5,390936.735,874.244,2160.920,1137.931,65.120,612.644,0,0,0,0,0
6,17175.321,189.568,5770.115,379.310,104.036,149.083,0,0,0,0,0
7,9248.250,196.414,5655.173,563.218,110.556,123.176,0,0,0,0,0
8,10437.311,138.886,4517.241,770.115,65.556,114.943,0,0,0,0,0
9,9908.839,229.021,4816.092,724.138,162.474,102.758,0,0,0,0,0
10,4359.889,120.004,6678.161,816.092,73.301,67.698,0,0,0,0,0
11,5416.832,172.414,3367.816,850.575,126.870,76.486,0,0,0,0,0
12,5284.714,140.305,5724.138,1022.989,34.992,69.090,0,0,0,0,0
13,19421.325,807.630,5218.391,1816.092,65.624,70.907,0,0,0,0,0
14,135817.156,480.289,988.506,1172.414,111.038,377.369,0,0,0,0,0
15,46241.249,388.941,6620.690,1586.207,71.030,183.908,0,0,0,0,0
16,41088.653,315.621,5103.448,1528.736,56.889,210.409,0,0,0,0,0
17,24706.039,362.935,3436.782,1390.805,169.046,222.302,0,0,0,0,0
18,35803.939,247.594,126.437,1379.310,158.199,218.391,0,0,0,0,0
19,16778.968,211.006,5448.276,1390.805,150.642,135.836,0,0,0,0,0
20,244946.504,655.979,2816.092,2045.977,78.887,540.230,0,0,0,0,0
21,69361.874,565.559,1137.931,1908.046,37.569,286.679,0,0,0,0,0
22,17307.439,326.930,5873.563,1528.736,100.125,135.293,0,0,0,0,0
23,21138.857,294.621,3344.828,1827.586,69.444,166.969,0,0,0,0,0
24,16514.732,195.740,5068.966,1574.713,93.366,137.931,0,0,0,0,0
25,18364.382,190.264,7000.000,1712.644,115.017,149.425,0,0,0,0,0
26,24309.685,278.009,3390.805,1896.552,29.745,194.526,0,0,0,0,0
27,20478.268,191.302,6563.219,2011.494,57.265,160.920,0,0,0,0,0
28,16118.378,179.914,6747.127,2241.379,63.435,148.311,0,0,0,0,0
29,55885.853,328.744,4563.219,2448.276,53.531,287.356,0,0,0,0,0
30,10437.311,319.573,517.241,2183.908,142.306,252.657,0,0,0,0,0
