 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret,Sample,Depths,Date,Analyst,Other info
1,17307.439,196.750,5758.621,379.310,83.290,137.931,0,0,0,0,0
2,4492.007,145.392,643.678,321.839,108.435,99.521,0,0,0,0,0
3,7002.246,178.439,758.621,551.724,165.069,91.954,0,0,0,0,0
4,11758.489,179.546,6482.759,781.609,39.806,136.903,0,0,0,0,0
5,14532.964,154.639,6954.023,1459.770,48.013,134.533,0,0,0,0,0
6,15193.553,175.452,1678.161,1402.299,121.608,160.920,0,0,0,0,0
7,34746.996,273.215,7160.920,1666.667,67.751,211.319,0,0,0,0,0
8,21667.328,442.342,5517.242,1597.701,114.567,123.604,0,0,0,0,0
9,21535.210,221.991,6034.483,1793.103,21.251,162.553,0,0,0,0,0
10,49279.960,325.310,3505.747,2022.989,57.995,239.485,0,0,0,0,0
11,47826.664,298.187,7080.460,2160.920,62.447,223.352,0,0,0,0,0
12,162108.609,551.844,5793.104,2080.460,144.324,434.118,0,0,0,0,0
13,49544.196,340.393,655.172,2528.736,101.689,268.213,0,0,0,0,0
14,34614.878,259.322,5666.667,2908.046,77.196,193.966,0,0,0,0,0
15,12286.961,142.176,6333.333,2942.529,104.036,126.437,0,0,0,0,0
16,131589.384,525.352,5689.655,3620.690,169.919,369.082,0,0,0,0,0
17,35803.939,533.214,1310.345,3586.207,172.569,232.892,0,0,0,0,0
18,6473.775,156.339,45.977,4586.207,107.103,105.438,0,0,0,0,0
19,12154.843,196.414,4620.690,4954.023,159.444,101.554,0,0,0,0,0
20,8587.661,144.023,4160.920,5229.885,28.610,102.056,0,0,0,0,0
21,5416.832,205.615,218.391,5195.402,153.435,101.422,0,0,0,0,0
22,8323.425,226.411,6436.782,5425.287,66.038,126.437,SP_SS_1A_19,Enter Depth Range,Date of Analysis,Analyst Name or Initials,Other Pertinent Information
23,9380.368,195.740,4103.448,333.333,49.764,118.340,0,0,0,0,0
24,56942.796,367.277,3298.851,252.874,159.864,248.684,0,0,0,0,0
25,10569.428,236.960,2195.402,218.391,104.036,94.604,0,0,0,0,0
26,12551.196,207.216,3816.092,413.793,70.560,127.092,0,0,0,0,0
27,9908.839,195.402,1551.724,367.816,118.072,93.752,0,0,0,0,0
28,7002.246,131.055,4057.471,701.149,74.745,68.966,0,0,0,0,0
29,16514.732,279.667,6908.046,678.161,9.462,126.437,0,0,0,0,0
30,12022.725,232.741,3482.759,781.609,57.095,102.924,0,0,0,0,0
31,5945.304,147.198,1758.621,712.644,51.340,86.127,0,0,0,0,0
32,15193.553,195.402,6114.943,770.115,61.928,126.437,0,0,0,0,0
33,15589.907,185.339,2540.230,712.644,97.125,135.516,0,0,0,0,0
34,13608.139,208.170,2977.012,735.632,96.340,149.080,0,0,0,0,0
35,12419.078,156.339,3724.138,931.035,36.027,130.394,0,0,0,0,0
36,14929.318,181.740,6310.345,896.552,145.305,149.319,0,0,0,0,0
37,124587.138,752.413,6218.391,1459.770,34.418,314.542,0,0,0,0,0
38,21403.093,252.089,7057.471,1229.885,65.772,168.357,0,0,0,0,0
