 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,10833.664,185.339,3011.494,11.494,119.745,146.298
2,47694.546,487.118,2172.414,68.966,160.710,151.119
3,55093.146,345.019,2781.609,149.425,119.982,226.189
4,7398.600,134.045,4459.770,264.368,59.036,96.583
5,7927.071,223.178,5195.402,379.310,78.111,92.458
6,6473.775,179.914,6896.552,333.333,63.435,80.033
7,11890.607,200.739,3850.575,390.805,76.759,114.943
8,4492.007,131.055,3965.517,264.368,127.875,70.997
9,37785.707,278.246,4413.793,333.333,141.710,225.785
10,4359.889,131.055,6172.414,402.299,52.125,72.006
11,13608.139,153.352,2137.931,344.828,102.995,125.462
12,69758.228,418.397,5022.989,528.736,15.945,261.986
13,4359.889,138.886,7229.885,367.816,114.444,71.814
14,30651.343,284.352,6000.000,471.264,165.964,126.437
15,80988.246,542.183,3034.483,965.517,57.995,271.321
16,5813.186,113.205,574.713,586.207,23.962,100.375
17,210992.216,682.337,712.644,655.172,122.619,562.994
18,222354.351,817.467,5839.081,609.195,117.646,649.621
19,17307.439,219.597,3459.770,632.184,132.879,125.498
20,21403.093,264.618,2310.345,758.621,124.380,169.656
21,79667.067,502.077,1356.322,988.506,15.945,289.943
22,19289.207,218.088,114.943,942.529,18.435,137.931
23,32633.110,242.472,333.333,988.506,5.440,203.055
24,26952.043,281.785,6241.379,942.529,11.768,144.987
25,71739.996,382.087,4540.230,1287.356,74.291,304.242
26,17043.203,175.828,7126.437,1022.989,168.690,143.988
27,25102.393,257.019,2862.069,1241.379,63.435,146.739
28,31840.403,236.960,287.356,1091.954,140.906,195.402
29,5152.596,172.414,7195.402,1206.897,126.870,70.746
30,40692.300,474.756,5494.253,1735.632,83.047,177.511
31,7002.246,207.216,3183.908,1367.816,93.180,85.593
32,74382.353,397.010,7103.448,1402.299,112.109,293.607
33,6209.539,140.305,333.333,1540.230,55.008,73.149
34,53507.732,395.843,724.138,1505.747,115.821,275.862
35,15589.907,187.113,5965.517,1839.081,79.380,123.163
36,42409.832,552.801,4781.609,1724.138,176.424,170.850
37,24177.568,253.135,1436.782,1908.046,39.472,214.080
38,55093.146,379.484,4402.299,1724.138,144.866,241.379
39,36200.292,335.703,6597.701,2022.989,51.953,215.394
40,16250.496,334.125,5000.000,2114.943,49.185,101.496
41,4359.889,195.402,2264.368,2057.471,61.928,41.176
42,8059.189,253.135,4747.127,1885.058,129.472,89.796
43,10569.428,207.216,4149.425,2034.483,33.690,98.842
44,14665.082,226.702,505.747,1931.035,120.466,168.198
45,71211.524,473.920,1160.920,2252.874,39.094,236.473
46,46769.721,399.001,2551.724,2264.368,41.496,231.193
47,17175.321,207.216,1620.690,2218.391,146.310,183.908
48,13211.786,185.339,4218.391,2379.310,60.255,121.915
49,10701.546,293.047,1413.793,2252.874,101.310,172.414
50,43731.010,513.267,2540.230,2724.138,55.954,199.005
51,13343.903,175.075,1781.609,2413.793,113.199,124.749
52,16911.086,225.826,1597.701,2494.253,104.744,157.582
53,10173.075,181.740,1896.552,2724.138,34.695,120.877
54,7927.071,223.178,3287.356,2885.058,78.111,103.448
55,13872.375,188.520,2275.862,2862.069,52.431,133.204
56,77553.181,398.504,701.149,2735.632,123.232,308.635
57,16911.086,293.047,5873.563,2862.069,11.310,137.406
58,4227.771,181.740,3574.713,2781.609,124.695,81.125
59,7927.071,221.096,3482.759,2804.598,98.973,75.658
60,8191.307,376.514,2356.322,2919.540,12.339,100.983
61,77949.535,510.169,1321.839,2839.081,104.349,302.386
62,14532.964,175.828,1551.724,3011.494,11.310,137.931
63,24573.921,243.830,931.035,3137.931,45.000,200.545
64,4756.243,124.329,3735.632,3091.954,56.310,91.954
65,11890.607,195.740,6781.609,2988.506,139.764,123.410
66,21270.975,203.679,402.299,3057.471,106.390,170.095
67,52715.024,375.811,2310.345,3126.437,156.571,203.954
68,4359.889,179.914,4057.471,3252.874,26.565,56.620
69,9248.250,149.867,1804.598,3356.322,175.601,126.437
70,27612.632,426.683,5643.678,3758.621,85.365,159.216
71,67644.342,382.087,1160.920,3839.081,68.839,242.568
72,12551.196,160.096,6011.494,3666.667,158.962,124.787
73,4095.654,120.004,5873.563,3655.173,106.699,89.313
74,14136.611,169.711,2126.437,3827.586,28.301,130.043
75,84555.428,443.684,896.552,4229.885,73.443,350.452
76,6473.775,200.739,1390.805,3839.081,103.241,85.467
77,15986.261,252.351,4954.023,4126.437,59.931,154.426
78,4227.771,160.096,7252.874,3965.517,111.038,79.938
79,19421.325,349.584,2724.138,3988.506,133.668,203.763
80,16382.614,175.828,494.253,4172.414,11.310,136.615
81,14665.082,159.683,2183.908,4252.874,59.744,137.931
82,209010.448,1068.657,1425.287,5137.931,71.175,447.489
83,24045.450,221.096,287.356,4298.851,8.973,172.198
84,24970.275,264.618,4057.471,4402.299,55.620,156.052
85,90897.085,597.701,402.299,4517.241,22.620,358.246
86,4095.654,105.972,91.954,4333.333,49.399,80.460
87,30254.989,245.988,1252.874,4252.874,142.595,199.530
88,8323.425,165.772,6413.793,4448.276,33.690,97.737
89,5284.714,172.414,2873.563,4390.805,143.130,87.451
90,13608.139,309.279,2827.586,4402.299,131.987,209.294
91,26423.571,221.991,4160.920,4459.770,158.749,175.494
92,78213.771,416.498,1965.517,4839.081,62.021,290.867
93,20081.914,236.960,436.782,4827.586,75.964,149.425
94,24573.921,207.216,735.632,4712.644,160.560,183.908
95,138459.513,856.611,2494.253,5494.253,78.389,496.256
96,23781.214,211.944,4781.609,4770.115,167.471,171.439
97,28933.810,248.659,2988.506,4931.035,33.690,218.391
98,4888.361,118.341,5183.908,4885.058,60.945,70.198
99,10701.546,245.988,3413.793,4942.529,142.595,139.312
100,108204.524,541.329,3827.586,5459.770,86.348,391.185
101,56942.796,399.001,4885.058,5229.885,41.496,257.635
102,5020.479,124.329,827.586,5034.483,33.690,65.021
103,5548.950,138.409,1218.391,5034.483,138.366,94.320
104,4359.889,170.874,4540.230,5137.931,137.726,65.021
105,38710.532,290.784,781.609,5287.356,161.565,203.055
