 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret,Sample,Depths,Date,Analyst,Other info
1,16382.614,179.546,3517.241,206.897,140.194,138.139,0,0,0,0,0
2,241115.087,727.869,1712.644,505.747,164.427,490.754,0,0,0,0,0
3,20610.385,269.074,4206.897,517.241,19.983,119.185,0,0,0,0,0
4,7927.071,181.740,5505.747,459.770,145.305,102.661,0,0,0,0,0
5,46769.721,345.593,609.195,724.138,3.814,255.000,0,0,0,0,0
6,141894.577,713.014,5609.196,1000.000,20.772,381.677,0,0,0,0,0
7,5681.068,134.045,6241.379,919.540,59.036,79.782,0,0,0,0,0
8,19421.325,179.546,1275.862,873.563,129.806,154.426,0,0,0,0,0
9,12286.961,153.352,4931.035,908.046,102.995,124.552,0,0,0,0,0
10,127757.966,509.132,6471.265,1057.471,151.699,367.286,0,0,0,0,0
11,10437.311,207.216,5689.655,1045.977,123.690,105.594,0,0,0,0,0
12,15061.436,159.683,3758.621,1206.897,30.256,137.931,0,0,0,0,0
13,49279.960,312.677,206.897,1229.885,162.897,228.707,0,0,0,0,0
14,12154.843,293.047,5045.977,1310.345,115.560,144.475,0,0,0,0,0
15,12683.314,175.075,45.977,1390.805,23.199,108.698,0,0,0,0,0
16,111111.117,420.916,5425.287,1873.563,34.992,365.745,0,0,0,0,0
17,25102.393,223.178,7126.437,1735.632,34.509,160.656,0,0,0,0,0
18,36596.646,262.109,2804.598,1919.540,52.125,232.339,0,0,0,0,0
19,14532.964,175.075,919.540,2022.989,66.801,137.029,0,0,0,0,0
20,42806.185,335.112,4609.196,2068.966,30.964,210.835,0,0,0,0,0
21,34086.407,245.719,4896.552,2114.943,10.784,206.897,0,0,0,0,0
22,5284.714,164.573,2620.690,2126.437,65.225,95.711,0,0,0,0,0
23,52979.260,541.695,3137.931,2126.437,162.719,234.889,0,0,0,0,0
24,16382.614,163.364,6402.299,2137.931,129.289,146.298,0,0,0,0,0
25,6077.421,138.409,1873.563,2218.391,41.634,76.343,0,0,0,0,0
26,19949.796,277.771,1586.207,2218.391,114.444,206.897,0,0,0,0,0
27,10305.193,252.089,3551.724,2689.655,46.848,86.275,0,0,0,0,0
28,30122.871,258.301,2540.230,2597.701,159.146,172.414,0,0,0,0,0
29,15325.671,190.264,3390.805,2632.184,154.983,137.931,0,0,0,0,0
30,83498.485,429.153,2816.092,3149.425,159.624,334.154,0,0,0,0,0
31,21403.093,265.365,6954.023,3471.264,72.350,148.311,0,0,0,0,0
32,9512.486,145.392,6436.782,3367.816,108.435,91.954,0,0,0,0,0
33,17835.911,185.695,3160.920,3620.690,21.801,154.754,0,0,0,0,0
34,4756.243,138.886,1747.126,3632.184,24.444,70.198,0,0,0,0,0
35,40163.828,417.765,1436.782,3574.713,97.907,195.402,0,0,0,0,0
36,4359.889,192.679,4080.460,3793.104,72.646,50.520,0,0,0,0,0
37,9248.250,138.886,770.115,3850.575,65.556,102.837,0,0,0,0,0
38,21667.328,231.032,4103.448,3873.563,95.711,190.335,0,0,0,0,0
39,4624.125,114.943,1965.517,4022.989,53.130,73.149,0,0,0,0,0
40,16118.378,181.740,448.276,4264.368,18.435,126.437,0,0,0,0,0
41,7794.953,213.805,2793.104,4183.908,126.254,83.009,0,0,0,0,0
42,53639.849,414.431,4022.989,5448.276,33.690,255.276,0,0,0,0,0
43,4095.654,102.808,6850.575,5229.885,153.435,68.966,0,0,0,0,0
44,35803.939,338.056,4298.851,448.276,54.689,170.403,0,0,0,0,0
45,59188.799,509.132,6609.196,298.851,151.699,313.639,0,0,0,0,0
46,17439.557,191.302,2793.104,402.299,57.265,138.170,0,0,0,0,0
47,9380.368,204.649,7022.989,666.667,38.157,121.191,0,0,0,0,0
48,4492.007,92.670,1436.782,551.724,150.255,68.966,0,0,0,0,0
49,14797.200,223.178,5528.736,770.115,78.111,114.309,0,0,0,0,0
50,27612.632,236.960,275.862,724.138,140.906,170.681,0,0,0,0,0
51,27612.632,283.887,2885.058,1000.000,68.629,148.873,0,0,0,0,0
52,40031.710,319.573,6804.598,1402.299,52.306,192.667,0,0,0,0,0
53,6209.539,130.043,2218.391,1379.310,135.000,91.954,0,0,0,0,0
54,52318.671,329.346,5620.690,1781.609,60.751,269.434,0,0,0,0,0
55,22856.389,221.096,5264.368,2057.471,62.103,172.414,0,0,0,0,0
56,8719.778,140.305,5758.621,2011.494,55.008,111.528,0,0,0,0,0
