 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,12419.078,162.553,5505.747,34.483,98.130,114.943
2,8719.778,145.392,6080.460,137.931,18.435,103.448
3,73853.881,552.801,1022.989,103.448,93.576,247.667
4,7398.600,153.352,3149.425,264.368,77.005,120.027
5,11758.489,170.874,3574.713,149.425,137.726,130.043
6,12551.196,145.392,5678.161,275.862,18.435,126.437
7,4756.243,149.425,1390.805,344.828,67.380,72.359
8,18364.382,188.520,6747.127,333.333,37.569,149.425
9,12683.314,156.339,1540.230,321.839,126.027,126.437
10,8851.896,185.695,183.908,356.322,111.801,118.252
11,9776.721,164.573,1229.885,402.299,155.225,126.437
12,20742.503,205.615,505.747,563.218,153.435,162.553
13,17968.028,192.679,6528.736,586.207,162.646,136.263
14,5945.304,128.510,6896.552,551.724,100.305,80.460
15,96710.270,678.550,264.368,574.713,100.739,380.612
16,8059.189,163.364,3275.862,609.195,140.711,95.042
17,11626.371,170.874,3862.069,724.138,47.726,126.437
18,17043.203,175.075,678.161,724.138,23.199,150.948
19,9776.721,144.023,5735.632,724.138,28.610,103.448
20,24177.568,252.351,6977.012,873.563,59.931,137.715
21,18232.264,197.755,6379.311,827.586,54.462,162.553
22,20874.621,214.730,7137.931,793.103,15.524,154.241
23,4756.243,131.055,954.023,735.632,142.125,88.467
24,6605.893,122.186,1862.069,977.012,41.186,92.608
25,6209.539,118.341,2402.299,1000.000,60.945,90.265
26,8059.189,147.198,6091.954,908.046,128.660,90.891
27,4756.243,134.045,666.667,1034.483,59.036,89.313
28,12551.196,149.867,34.483,1160.920,57.529,126.437
29,4624.125,113.787,1942.529,1034.483,135.000,75.289
30,24045.450,215.957,183.908,1057.471,115.201,171.992
31,13079.668,196.414,4298.851,1068.966,159.444,140.440
32,19289.207,185.695,7252.874,1229.885,68.199,149.425
33,5681.068,114.943,1586.207,1172.414,53.130,88.065
34,27480.514,278.009,3505.747,1344.828,82.875,172.414
35,10173.075,162.553,5954.023,1275.862,171.870,125.462
36,9908.839,131.055,5321.839,1241.379,105.255,117.335
37,70418.817,529.859,413.793,1896.552,77.471,371.043
38,15457.789,162.553,2034.483,1436.782,171.870,141.313
39,7530.718,187.113,758.621,1528.736,42.510,112.292
40,13476.021,153.352,1114.943,1402.299,102.995,127.239
41,5284.714,200.739,149.425,1689.655,66.371,102.290
42,5813.186,124.329,2528.736,1563.218,146.310,91.954
43,10040.957,145.392,712.644,1724.138,71.565,100.375
44,43070.421,345.019,1689.655,1816.092,29.982,196.616
45,16118.378,181.740,4540.230,1701.149,161.565,149.425
46,5813.186,128.510,4114.943,1724.138,153.435,80.460
47,12683.314,181.740,2172.414,1770.115,161.565,125.462
48,5681.068,185.695,22.989,1862.069,111.801,110.007
49,29990.753,226.702,1505.747,2011.494,30.466,195.402
50,14400.846,175.452,6781.609,1896.552,121.608,127.239
51,5152.596,154.212,655.172,1908.046,116.565,88.599
