 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,33822.171,273.215,1632.184,91.954,104.621,172.414
2,12286.961,142.176,6045.977,149.425,165.964,126.437
3,18232.264,181.740,5804.598,333.333,55.305,146.911
4,5681.068,124.329,275.862,287.356,146.310,79.782
5,14665.082,175.075,2344.828,402.299,23.199,125.462
6,58396.092,309.492,3022.989,413.793,158.199,264.368
7,31972.521,243.559,5379.310,425.287,160.710,172.414
8,45977.014,378.089,2655.172,551.724,160.463,194.943
9,7398.600,154.639,2471.264,551.724,131.987,97.013
10,9116.132,156.339,6724.138,701.149,17.103,109.025
11,53639.849,360.011,1574.713,1045.977,73.301,216.816
12,28405.339,401.477,4666.667,862.069,103.241,145.712
13,8455.543,151.183,517.241,942.529,171.254,91.954
14,29726.518,242.472,5298.851,1206.897,58.570,178.134
15,31179.814,400.983,2045.977,1367.816,62.700,162.589
16,5548.950,105.972,4862.069,1114.943,40.601,80.460
17,8851.896,138.886,1436.782,1057.471,114.444,101.548
18,7134.364,144.023,5034.483,1160.920,28.610,80.460
19,13211.786,181.740,5873.563,1080.460,108.435,130.043
20,10305.193,156.339,2264.368,1229.885,36.027,104.231
21,51658.082,444.131,655.172,1609.195,79.563,244.675
22,21931.564,211.319,5586.207,1298.851,157.620,170.095
23,30915.578,252.351,5862.069,1367.816,149.931,178.335
24,101994.985,471.685,5977.012,1816.092,43.025,319.680
25,41617.125,293.047,6517.242,1528.736,131.820,197.767
26,89840.142,427.765,1022.989,1643.678,120.700,317.811
27,14268.728,185.695,3609.195,1885.058,68.199,154.426
28,8851.896,130.043,1977.012,1816.092,135.000,103.448
29,7662.836,144.023,4448.276,1965.517,61.390,106.926
30,22724.271,264.618,172.414,2080.460,55.620,169.685
31,17175.321,178.439,1471.264,2057.471,75.069,137.931
32,12286.961,189.568,5701.150,2114.943,75.964,127.569
33,11494.253,156.339,5068.966,2103.448,36.027,121.915
34,14665.082,189.568,1310.345,2252.874,75.964,125.462
35,12419.078,179.546,6574.713,2218.391,39.806,113.182
36,25762.982,236.960,4747.127,2356.322,39.094,195.402
37,15061.436,172.414,5701.150,2310.345,143.130,132.408
38,22988.507,211.944,908.046,2482.759,49.399,149.170
39,14136.611,195.402,1218.391,2321.839,118.072,114.943
40,58131.856,325.513,632.184,2689.655,47.862,264.368
41,13476.021,185.339,6620.690,2655.172,60.255,114.943
42,34746.996,273.215,1344.828,2689.655,22.249,184.007
43,12947.550,154.212,206.897,2620.690,153.435,114.943
44,30387.107,236.960,1149.425,2839.081,39.094,195.064
45,22988.507,236.960,6528.736,2735.632,165.964,160.866
46,8719.778,128.510,6091.954,2701.149,153.435,91.954
47,11494.253,156.339,2264.368,2827.586,36.027,103.448
48,15061.436,243.830,655.172,2885.058,171.870,103.448
49,60774.214,414.431,413.793,3011.494,160.560,232.241
50,5416.832,114.943,5333.333,3068.966,53.130,91.954
51,4227.771,122.186,7011.494,3068.966,41.186,60.613
52,87726.256,406.708,2172.414,3321.839,47.291,328.759
53,17439.557,241.653,4034.483,3321.839,64.654,185.106
54,7398.600,128.510,5954.023,3172.414,153.435,91.954
55,45712.778,457.754,517.241,3183.908,128.884,185.430
56,16778.968,189.568,2586.207,3275.862,165.964,137.931
57,7002.246,114.943,6068.966,3333.333,53.130,88.842
58,15722.025,175.828,7137.931,3344.828,11.310,143.954
59,5020.479,204.649,5896.552,3287.356,128.157,55.295
60,11097.900,161.330,2850.575,3356.322,175.914,111.436
61,4227.771,142.176,4218.391,3563.218,75.964,68.966
62,5548.950,198.422,5827.586,3494.253,10.008,57.471
63,29726.518,232.457,942.529,3597.701,8.531,185.053
64,45448.542,372.279,6643.678,3632.184,171.119,160.920
65,5152.596,139.834,3183.908,3770.115,80.538,85.473
66,31576.168,226.702,758.621,3712.644,149.534,203.192
67,9380.368,134.537,4057.471,3781.609,70.017,103.448
68,9248.250,169.711,2241.379,3873.563,61.699,102.837
69,5548.950,179.914,413.793,3908.046,63.435,85.048
70,4227.771,128.510,505.747,3770.115,153.435,89.404
71,10173.075,138.886,5977.012,3885.058,65.556,105.660
