 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret,Sample,Depths,Date,Analyst,Other info
1,5416.832,149.867,1091.954,195.402,57.529,78.862,0,0,0,0,0
2,35143.350,267.350,6160.920,206.897,154.537,206.897,0,0,0,0,0
3,8984.014,142.176,2574.713,241.379,14.036,98.952,0,0,0,0,0
4,14797.200,175.452,4494.253,264.368,31.608,126.307,0,0,0,0,0
5,30387.107,245.988,2896.552,402.299,52.595,172.414,0,0,0,0,0
6,14532.964,225.826,4609.196,333.333,14.744,151.402,0,0,0,0,0
7,29462.282,267.350,4103.448,471.264,25.463,169.744,0,0,0,0,0
8,4624.125,134.537,149.425,459.770,70.017,91.954,0,0,0,0,0
9,36068.175,325.310,3252.874,356.322,122.005,224.324,0,0,0,0,0
10,26687.807,243.830,839.080,609.195,81.870,179.943,0,0,0,0,0
11,12551.196,162.553,275.862,436.782,135.000,122.681,0,0,0,0,0
12,30783.460,354.836,1942.529,586.207,24.905,163.628,0,0,0,0,0
13,14797.200,192.679,5149.425,540.230,17.354,149.425,0,0,0,0,0
14,56678.560,485.079,5149.425,977.012,36.327,260.085,0,0,0,0,0
15,8587.661,147.198,1000.000,632.184,141.340,106.354,0,0,0,0,0
16,16382.614,201.067,4252.874,827.586,59.036,143.550,0,0,0,0,0
17,46241.249,414.431,3988.506,1057.471,70.560,174.023,0,0,0,0,0
18,18760.736,198.422,6149.425,758.621,169.992,155.023,0,0,0,0,0
19,5020.479,118.341,5919.540,689.655,150.945,80.460,0,0,0,0,0
20,20610.385,223.178,850.575,712.644,124.509,191.901,0,0,0,0,0
21,94464.267,622.072,6586.207,781.609,106.091,246.066,0,0,0,0,0
22,5945.304,134.537,6229.885,850.575,109.983,76.477,0,0,0,0,0
23,5681.068,134.045,2091.954,977.012,59.036,91.954,0,0,0,0,0
24,9908.839,252.089,3264.368,1068.966,43.152,121.974,0,0,0,0,0
25,8587.661,236.960,6137.931,896.552,104.036,91.730,0,0,0,0,0
26,33557.935,267.350,1045.977,965.517,115.463,205.423,0,0,0,0,0
27,6605.893,160.096,4678.161,1114.943,21.038,98.281,0,0,0,0,0
28,168186.030,570.791,2816.092,1057.471,115.017,488.552,0,0,0,0,0
29,47958.782,329.346,6436.782,1229.885,119.249,227.575,0,0,0,0,0
30,42145.596,294.621,1034.483,1252.874,110.556,218.391,0,0,0,0,0
31,26159.335,301.710,4873.563,1413.793,17.745,183.908,0,0,0,0,0
32,69758.228,415.227,3793.104,1287.356,131.634,251.958,0,0,0,0,0
33,38842.650,388.941,5264.368,1402.299,161.030,255.878,0,0,0,0,0
34,5945.304,200.739,5758.621,1517.241,66.371,66.764,0,0,0,0,0
35,4888.361,98.877,6816.092,1379.310,125.538,80.460,0,0,0,0,0
36,7266.482,218.088,1252.874,1724.138,71.565,125.327,0,0,0,0,0
37,11890.607,181.740,1965.517,1609.195,161.565,105.438,0,0,0,0,0
38,12419.078,190.264,4126.437,1620.690,154.983,126.437,0,0,0,0,0
39,8059.189,145.392,6344.828,1712.644,18.435,100.436,0,0,0,0,0
40,13872.375,164.573,3827.586,1620.690,114.775,131.457,0,0,0,0,0
41,51790.199,423.887,3597.701,2068.966,77.471,217.242,0,0,0,0,0
42,12154.843,185.695,4425.287,1655.172,158.199,114.943,0,0,0,0,0
43,8851.896,185.339,1747.126,1850.575,60.255,107.995,0,0,0,0,0
44,7662.836,231.317,528.736,2045.977,63.435,84.018,0,0,0,0,0
45,39767.475,410.266,4264.368,2356.322,78.690,201.152,0,0,0,0,0
46,20478.268,270.543,1494.253,2287.356,77.735,174.569,0,0,0,0,0
47,66191.046,344.828,4620.690,2367.816,36.870,291.542,0,0,0,0,0
48,14532.964,173.940,2137.931,2195.402,7.595,126.437,0,0,0,0,0
49,4624.125,117.219,4160.920,2172.414,101.310,77.505,0,0,0,0,0
50,12286.961,162.553,724.138,2413.793,171.870,137.931,0,0,0,0,0
51,35407.585,254.436,517.241,2528.736,161.565,209.269,0,0,0,0,0
52,23252.743,335.112,5275.862,2482.759,112.166,182.705,0,0,0,0,0
53,34350.642,266.607,4885.058,2632.184,7.431,206.897,0,0,0,0,0
54,16382.614,252.089,5206.897,2551.724,114.228,123.674,0,0,0,0,0
55,8984.014,197.755,5712.644,2850.575,54.462,126.721,0,0,0,0,0
56,5548.950,144.023,5735.632,2885.058,28.610,86.442,0,0,0,0,0
57,13343.903,173.940,5827.586,2931.035,172.405,114.943,0,0,0,0,0
58,11494.253,163.364,6747.127,2919.540,129.289,113.123,0,0,0,0,0
59,4095.654,102.808,6873.563,3137.931,153.435,68.966,0,0,0,0,0
60,5548.950,113.205,5770.115,3264.368,66.038,73.149,0,0,0,0,0
61,16118.378,188.520,5103.448,3183.908,142.431,143.966,0,0,0,0,0
62,17307.439,232.741,2310.345,3459.770,20.225,124.466,0,0,0,0,0
63,123794.431,524.722,2701.149,3804.598,61.189,375.417,0,0,0,0,0
64,9380.368,172.797,6678.161,3448.276,176.186,107.995,0,0,0,0,0
65,5945.304,165.772,850.575,3574.713,146.310,71.306,0,0,0,0,0
66,13079.668,258.301,6701.150,3643.678,159.146,194.458,0,0,0,0,0
67,4492.007,140.305,1655.172,3896.552,34.992,97.532,0,0,0,0,0
68,49412.078,349.584,1885.058,3977.012,9.462,229.885,0,0,0,0,0
69,13476.021,159.683,7091.954,4045.977,59.744,126.437,0,0,0,0,0
70,51129.610,331.545,5482.759,4149.425,33.690,253.734,0,0,0,0,0
71,56678.560,469.016,6586.207,4126.437,17.103,239.416,0,0,0,0,0
72,7002.246,131.055,5229.885,3988.506,127.875,91.954,0,0,0,0,0
73,17835.911,188.520,2942.529,4149.425,37.569,143.983,0,0,0,0,0
74,6473.775,139.834,1379.310,4091.954,9.462,90.265,0,0,0,0,0
75,18100.146,221.096,1643.678,4252.874,98.973,114.943,0,0,0,0,0
76,46241.249,335.112,1804.598,4563.219,59.036,215.350,0,0,0,0,0
77,6473.775,160.096,5390.805,4494.253,68.962,80.460,0,0,0,0,0
78,91821.910,509.002,4183.908,4747.127,6.483,294.710,0,0,0,0,0
79,43731.010,390.466,1643.678,4931.035,42.614,215.687,0,0,0,0,0
80,7134.364,120.004,264.368,4781.609,16.699,87.243,0,0,0,0,0
81,7927.071,146.298,2126.437,4873.563,135.000,113.787,0,0,0,0,0
82,4492.007,122.186,5678.161,4942.529,41.186,81.277,0,0,0,0,0
83,12286.961,156.339,103.448,5045.977,17.103,126.437,0,0,0,0,0
84,24573.921,215.957,1045.977,5126.437,25.201,159.399,0,0,0,0,0
85,20610.385,421.543,6609.196,5402.299,78.996,173.814,0,0,0,0,0
86,4227.771,108.437,6770.115,126.437,32.005,65.021,0,0,0,0,0
87,15457.789,231.317,2390.805,252.874,26.565,155.913,0,0,0,0,0
88,24573.921,255.214,1298.851,183.908,97.765,160.920,0,0,0,0,0
