"","Sample","Area","Feret","Perim.","Major","Minor","Width","Height","Min","Max","AR","Circ.","Round","Solidity","Ellipse","PMAJ","Struct","PA","Rect","Region","Study_Area","Probe","Sample_Num","Depths_CMBS","depth_upper_cmbs","depth_lower_cmbs","Interval_cm","Raw_Mass_g","Notes"
"164","SP_SS_1A_04",41352.889,288.618,886.592,263.126,200.102,247.126,247.126,1,106,1.315,0.661,0.76,0.896,0.757300922707582,3.36945797830697,53.5,0.0214396628975548,0.677125199053753,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"165","SP_SS_1A_04",17670.763,253.135,657.524,232.161,96.912,201.149,195.402,0,77,2.396,0.514,0.417,0.831,0.636894333016948,2.83218973040261,38.5,0.0372097118839747,0.449581487371092,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"166","SP_SS_1A_04",83729.691,424.86,1250.126,395.718,269.404,408.046,316.092,1,83,1.469,0.673,0.681,0.894,0.710443998709359,3.15913352437847,42,0.0149304981908986,0.649167634615079,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"167","SP_SS_1A_04",30981.637,266.235,774.199,251.002,157.159,258.621,178.161,0,57,1.597,0.65,0.626,0.881,0.693377193024311,3.0844335901706,28.5,0.0249889636238395,0.672400353119052,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"168","SP_SS_1A_04",20808.562,203.841,618.041,187.653,141.188,172.414,178.161,0,70,1.329,0.685,0.752,0.895,0.739823291703146,3.29353114525214,35,0.0297012835389586,0.677418260857215,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"169","SP_SS_1A_04",19091.03,256.633,628.957,255.065,95.299,195.402,212.644,0,89,2.676,0.606,0.374,0.886,0.554609577397945,2.46586948424911,44.5,0.0329451580139992,0.459459486065602,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"170","SP_SS_1A_04",41055.624,632.967,1408.396,689.245,75.842,534.483,413.793,0,85,9.088,0.26,0.11,0.816,0.45988751959274,2.04338950590864,42.5,0.0343045815111713,0.185633187219136,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"171","SP_SS_1A_04",25432.687,308.958,760.972,276.459,117.131,247.126,224.138,1,91,2.36,0.552,0.424,0.88,0.619071117829383,2.75256728845869,46,0.0299210225014761,0.459153938951259,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"172","SP_SS_1A_04",16745.938,191.043,530.609,179.135,119.025,137.931,183.908,0,86,1.505,0.747,0.664,0.907,0.665465195673607,2.96206213191169,43,0.0316858333047692,0.660156604672011,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
"173","SP_SS_1A_04",31609.197,393.374,958.347,385.458,104.411,385.057,160.92,0,93,3.692,0.432,0.271,0.867,0.559407532498314,2.48625531186277,46.5,0.0303186126493501,0.510127124384775,"Spain","Son Servera","1A","4","26-28",26,28,2,8.536,""
