 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,5615.009,1,81,332.995,5885.058,1264.368,91.954,103.448,101.084,70.726,55.218,0.636,127.607,5902.299,1367.816,54.162,82.278,1.429,0.700,0.813
2,27348.396,0,102,1049.962,5787.356,3333.333,235.632,270.115,259.004,134.442,126.928,0.312,310.823,5787.356,3339.081,123.690,151.664,1.927,0.519,0.764
3,7035.276,1,80,371.661,4212.644,3120.690,103.448,120.690,110.310,81.204,108.880,0.640,127.607,4235.632,3120.690,125.838,94.202,1.358,0.736,0.824
4,21072.798,7,118,831.093,4045.977,3120.690,137.931,310.345,242.044,110.851,79.447,0.383,315.621,4051.724,3431.035,79.509,126.949,2.184,0.458,0.754
5,10206.104,2,93,441.204,4373.563,4281.609,114.943,126.437,119.741,108.524,55.637,0.659,151.728,4396.552,4402.299,52.696,114.588,1.103,0.906,0.867
6,26489.630,2,79,784.538,3563.218,3505.747,201.149,218.391,237.829,141.815,134.793,0.541,261.226,3568.966,3517.241,129.644,162.553,1.677,0.596,0.836
7,16845.027,5,95,588.897,3839.081,3793.104,206.897,126.437,207.462,103.382,18.751,0.610,221.991,3839.081,3902.299,21.251,117.741,2.007,0.498,0.879
8,19520.413,1,84,687.823,4620.690,2333.333,189.655,212.644,241.877,102.755,133.412,0.518,240.626,4626.437,2356.322,139.844,113.631,2.354,0.425,0.841
9,5548.950,6,82,301.879,3344.828,2942.529,80.460,109.195,110.508,63.933,64.787,0.765,115.659,3362.069,3051.724,63.435,68.515,1.729,0.579,0.887
10,25630.864,1,71,643.001,4643.678,1701.149,183.908,201.149,203.562,160.316,128.235,0.779,212.021,4672.414,1718.391,122.829,165.406,1.270,0.788,0.908
11,21171.886,5,64,552.203,528.736,2178.161,166.667,166.667,185.053,145.671,134.390,0.873,193.107,534.483,2206.897,143.471,155.409,1.270,0.787,0.947
12,8554.631,1,123,374.211,4890.805,3275.862,86.207,132.184,130.230,83.638,94.578,0.768,135.271,4902.299,3408.046,77.735,86.207,1.557,0.642,0.909
13,40560.182,0,126,993.407,2856.322,2626.437,212.644,304.598,303.157,170.350,80.203,0.516,329.145,2862.069,2925.287,65.225,200.763,1.780,0.562,0.841
14,14565.994,1,116,714.756,4896.552,2902.299,149.425,224.138,218.141,85.018,57.217,0.358,244.506,4908.046,3114.943,60.422,102.346,2.566,0.390,0.771
15,4062.624,1,114,421.005,4413.793,2827.586,91.954,109.195,110.383,46.861,119.785,0.288,135.637,4419.540,2827.586,126.384,66.907,2.356,0.425,0.656
16,19322.236,1,115,974.841,4747.127,942.529,281.609,149.425,283.550,86.764,20.404,0.256,308.691,4747.127,1068.966,24.179,97.018,3.268,0.306,0.830
17,14136.611,1,125,611.308,6143.678,2017.241,172.414,143.678,154.065,116.829,6.785,0.475,174.792,6143.678,2091.954,9.462,132.459,1.319,0.758,0.824
18,20280.091,0,70,1010.141,3298.851,879.310,178.161,229.885,203.044,127.172,62.743,0.250,233.379,3379.310,1109.195,80.074,144.534,1.597,0.626,0.734
19,62128.422,0,110,1144.227,5850.575,3000.000,344.828,241.379,354.834,222.933,174.246,0.596,359.919,5890.805,3005.747,141.483,240.695,1.592,0.628,0.876
20,11989.695,1,99,445.388,2856.322,2247.126,126.437,149.425,141.576,107.827,108.248,0.760,153.352,2908.046,2396.552,77.005,117.445,1.313,0.762,0.888
21,32401.904,0,87,762.127,655.172,3454.023,241.379,201.149,236.082,174.750,18.557,0.701,243.830,655.172,3574.713,8.130,169.078,1.351,0.740,0.912
22,31972.521,0,163,856.054,5419.540,3373.563,160.920,321.839,311.651,130.623,95.189,0.548,323.119,5448.276,3373.563,95.102,149.225,2.386,0.419,0.871
23,27711.720,1,106,920.497,1241.379,4022.989,149.425,275.862,276.758,127.489,99.356,0.411,289.247,1247.126,4028.736,110.956,138.625,2.171,0.461,0.879
24,73556.616,1,136,1384.113,2637.931,3913.793,477.012,264.368,430.216,217.694,4.268,0.482,481.182,2637.931,3988.506,172.451,227.258,1.976,0.506,0.904
25,7431.629,2,83,360.745,3143.678,3385.058,91.954,114.943,117.599,80.462,62.779,0.718,131.181,3149.425,3500.000,61.189,89.800,1.462,0.684,0.898
26,30816.490,0,55,987.491,5534.483,5091.954,281.609,252.874,295.875,132.613,139.474,0.397,357.986,5551.724,5091.954,137.603,177.420,2.231,0.448,0.778
27,10569.428,0,70,542.103,6850.575,3425.287,172.414,126.437,182.043,73.924,144.445,0.452,193.192,6850.575,3448.276,149.621,94.274,2.463,0.406,0.764
28,17274.410,0,74,563.936,5770.115,5402.299,155.172,212.644,192.481,114.268,110.558,0.683,216.416,5833.333,5402.299,100.713,120.889,1.684,0.594,0.866
29,22757.301,0,122,741.928,5017.242,5109.196,195.402,224.138,189.448,152.947,64.165,0.520,224.800,5160.920,5109.196,94.399,188.952,1.239,0.807,0.821
30,29396.223,0,101,922.709,3028.736,4275.862,235.632,235.632,252.774,148.071,51.045,0.434,284.932,3068.966,4505.747,48.270,173.973,1.707,0.586,0.796
31,60609.066,0,115,1715.135,1408.046,1580.460,540.230,275.862,478.982,161.112,163.971,0.259,554.828,1408.046,1666.667,166.827,203.389,2.973,0.336,0.713
32,88485.934,0,161,1419.173,4563.219,442.529,321.839,442.529,417.816,269.650,104.822,0.552,450.847,4712.644,442.529,101.023,275.037,1.549,0.645,0.880
33,65266.221,0,158,2961.083,5321.839,4436.782,643.678,482.759,399.676,207.917,19.536,0.094,752.413,5321.839,4862.069,34.418,394.803,1.922,0.520,0.382
34,20808.562,1,93,702.106,1758.621,1896.552,178.161,229.885,250.071,105.947,123.596,0.530,261.415,1764.368,1908.046,123.341,114.999,2.360,0.424,0.865
35,122473.252,3,98,2481.446,2545.977,3074.713,764.368,465.517,751.823,207.413,155.371,0.250,855.878,2545.977,3143.678,153.263,274.177,3.625,0.276,0.689
36,24474.833,13,114,688.978,3229.885,3741.379,166.667,241.379,249.050,125.125,68.812,0.648,259.704,3275.862,3977.012,65.136,132.287,1.990,0.502,0.893
37,18496.500,2,89,517.720,2022.989,540.230,155.172,155.172,158.744,148.355,144.913,0.867,169.028,2057.471,551.724,125.311,153.315,1.070,0.935,0.936
38,20940.680,1,116,607.124,2390.805,2568.966,183.908,160.920,173.017,154.104,167.333,0.714,192.679,2390.805,2689.655,17.354,160.609,1.123,0.891,0.901
39,29891.665,0,163,763.283,4333.333,2310.345,247.126,183.908,240.789,158.061,177.805,0.645,263.680,4333.333,2413.793,20.410,181.743,1.523,0.656,0.909
40,19388.295,1,99,732.983,1856.322,2931.035,247.126,143.678,218.039,113.218,176.009,0.453,253.721,1856.322,3011.494,166.908,131.947,1.926,0.519,0.809
41,40989.565,0,158,2284.650,1948.276,2281.609,528.736,281.609,525.047,99.400,24.398,0.099,561.721,1948.276,2522.989,19.733,157.277,5.282,0.189,0.588
42,8521.602,1,78,519.114,2477.012,2241.379,201.149,97.701,192.977,56.224,23.207,0.397,213.574,2482.759,2327.586,23.806,66.919,3.432,0.291,0.791
43,14334.787,0,78,1006.873,5488.506,333.333,114.943,258.621,195.738,93.245,90.110,0.178,262.676,5557.471,333.333,100.081,114.943,2.099,0.476,0.593
44,9578.545,0,105,466.404,6390.805,4925.287,132.184,143.678,154.798,78.785,49.653,0.553,167.852,6408.046,5057.471,51.953,99.377,1.965,0.509,0.795
45,30816.490,1,138,1184.766,2781.609,2810.345,339.080,298.851,412.148,95.201,40.804,0.276,433.518,2781.609,3080.460,38.541,113.040,4.329,0.231,0.776
46,5978.333,1,100,415.666,4218.391,925.287,109.195,126.437,145.530,52.304,51.029,0.435,155.279,4224.138,1045.977,51.009,62.226,2.782,0.359,0.803
47,11758.489,0,80,540.131,1609.195,3965.517,172.414,126.437,177.436,84.376,155.806,0.506,196.582,1609.195,3971.264,142.125,97.617,2.103,0.476,0.823
48,27084.160,1,80,1218.193,1385.058,1695.402,224.138,316.092,264.590,130.332,53.682,0.229,377.783,1396.552,2011.494,56.793,183.565,2.030,0.493,0.619
49,37719.648,1,183,777.566,2741.379,1563.218,235.632,224.138,230.214,208.615,143.659,0.784,257.597,2770.115,1586.207,141.340,220.441,1.104,0.906,0.936
50,5780.156,1,106,449.571,4143.678,982.759,126.437,166.667,204.866,35.924,128.436,0.359,209.199,4143.678,982.759,127.185,44.105,5.703,0.175,0.803
51,16778.968,1,71,563.359,4770.115,1597.701,178.161,172.414,203.198,105.137,137.064,0.664,204.649,4793.104,1609.195,128.157,108.039,1.933,0.517,0.883
52,17968.028,1,133,624.196,3873.563,2362.069,183.908,149.425,165.894,137.905,170.079,0.580,184.714,3873.563,2425.287,174.644,149.039,1.203,0.831,0.893
53,12353.020,1,64,477.321,1580.460,827.586,166.667,132.184,155.834,100.930,28.027,0.681,170.196,1580.460,925.287,11.689,114.657,1.544,0.648,0.894
