 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,15935.179,0,128,573.550,4543.748,2417.134,151.071,185.933,169.045,120.023,53.164,0.609,191.656,4613.473,2603.068,75.964,150.722,1.408,0.710,0.761
2,21066.847,1,98,617.214,2777.380,4218.364,162.692,209.175,225.223,119.096,122.379,0.695,251.397,2777.380,4218.364,123.690,135.169,1.891,0.529,0.872
3,48750.844,1,127,885.319,4055.673,3102.764,220.796,302.142,302.665,205.083,106.130,0.782,312.901,4125.398,3102.764,105.068,216.928,1.476,0.678,0.908
4,34031.060,0,83,774.750,4741.302,1777.988,220.796,232.417,253.245,171.098,129.830,0.712,274.262,4741.302,1789.609,143.616,193.501,1.480,0.676,0.866
5,32275.490,0,83,792.353,6124.182,1766.367,220.796,232.417,234.903,174.942,45.154,0.646,271.291,6147.424,1975.543,43.264,208.017,1.343,0.745,0.837
6,24983.120,0,75,678.964,5891.765,1743.126,209.175,232.417,197.748,160.859,53.943,0.681,233.576,6031.215,1975.543,84.289,186.127,1.229,0.813,0.851
7,23227.549,0,78,686.939,1138.842,4822.648,151.071,267.279,271.791,108.812,73.833,0.619,273.522,1185.326,5089.927,77.735,124.032,2.498,0.400,0.854
8,261580.014,0,146,2062.469,4288.089,4148.639,708.871,546.179,687.878,484.176,15.167,0.773,716.545,4288.089,4439.160,8.393,512.127,1.421,0.704,0.934
9,45779.878,0,77,856.922,6472.807,883.184,255.658,302.142,279.300,208.696,58.963,0.783,305.697,6577.395,1185.326,81.254,215.698,1.338,0.747,0.870
10,16340.311,0,70,491.379,4311.331,1789.609,127.829,185.933,186.291,111.681,111.636,0.850,198.577,4346.194,1789.609,110.556,124.769,1.668,0.599,0.903
11,75894.666,0,75,1070.085,4648.335,2428.755,313.763,325.383,337.878,285.997,53.710,0.833,370.776,4752.923,2754.139,57.804,304.639,1.181,0.846,0.932
12,15935.179,1,105,507.813,4462.402,1150.463,151.071,162.692,147.170,137.863,71.707,0.777,167.598,4485.644,1313.155,56.310,151.071,1.068,0.937,0.837
