 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,13442.992,1,89,532.003,4091.954,2350.575,143.678,137.931,144.695,118.291,155.245,0.597,161.022,4097.701,2367.816,145.176,136.071,1.223,0.818,0.831
2,61203.597,1,62,1263.014,1545.977,3563.218,247.126,396.552,350.015,222.638,104.280,0.482,407.114,1626.437,3563.218,108.947,244.921,1.572,0.636,0.836
3,9281.279,15,92,616.407,4356.322,4839.081,258.621,63.218,269.676,43.820,176.604,0.307,259.640,4356.322,4890.805,5.080,53.733,6.154,0.162,0.771
4,35605.762,1,70,799.399,1258.621,3683.908,241.379,229.885,233.798,193.905,25.490,0.700,270.176,1264.368,3862.069,29.291,202.659,1.206,0.829,0.891
5,8752.808,1,70,385.128,3247.127,1977.012,103.448,126.437,126.512,88.090,110.824,0.742,134.045,3247.127,1982.759,120.964,95.099,1.436,0.696,0.882
6,16481.702,1,77,567.303,2609.195,2942.529,183.908,143.678,165.803,126.566,1.086,0.644,187.113,2609.195,3034.483,10.620,143.678,1.310,0.763,0.869
7,24673.010,0,90,800.794,5862.069,4321.839,252.874,224.138,292.296,107.476,142.071,0.483,308.958,5867.816,4321.839,133.493,121.860,2.720,0.368,0.859
8,6738.011,0,56,362.139,5741.379,3304.598,109.195,97.701,101.450,84.565,22.816,0.646,112.913,5741.379,3321.839,165.256,95.950,1.200,0.834,0.850
9,8356.454,2,105,474.532,1436.782,2988.506,160.920,137.931,201.523,52.797,143.598,0.466,208.249,1436.782,2994.253,140.599,62.302,3.817,0.262,0.828
10,22063.682,1,77,667.384,3040.230,1632.184,155.172,235.632,227.780,123.331,74.211,0.622,241.242,3086.207,1867.816,77.619,136.290,1.847,0.541,0.871
11,22592.153,12,77,650.552,3293.104,3321.839,201.149,195.402,222.853,129.077,43.502,0.671,231.959,3293.104,3494.253,48.013,145.714,1.727,0.579,0.872
12,23516.978,0,85,731.011,2287.356,4132.184,166.667,264.368,242.018,123.721,68.795,0.553,271.091,2287.356,4362.069,57.995,139.501,1.956,0.511,0.835
13,12485.137,1,66,484.632,1132.184,3120.690,160.920,132.184,158.752,100.135,161.195,0.668,174.792,1137.931,3166.667,152.592,119.953,1.585,0.631,0.868
14,12815.432,2,110,951.036,4816.092,4867.816,160.920,339.080,328.044,49.741,116.315,0.178,372.900,4821.839,4867.816,114.590,61.411,6.595,0.152,0.759
15,37587.530,0,99,931.992,1678.161,3827.586,310.345,206.897,329.684,145.163,18.531,0.544,334.372,1683.908,4017.241,28.768,152.748,2.271,0.440,0.890
16,41352.889,1,106,886.592,2793.104,3344.828,247.126,247.126,263.126,200.102,130.865,0.661,288.618,2804.598,3350.575,125.272,229.982,1.315,0.760,0.896
