 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,13542.080,0,76,460.249,6695.402,2597.701,137.931,143.678,148.385,116.200,58.002,0.803,155.279,6706.897,2729.885,38.991,120.831,1.277,0.783,0.906
2,12584.226,1,94,531.426,4948.276,2522.989,172.414,126.437,152.318,105.193,171.181,0.560,174.792,4948.276,2574.713,9.462,126.437,1.448,0.691,0.844
3,15160.524,1,81,498.915,6160.920,2086.207,155.172,160.920,151.116,127.736,49.652,0.765,165.872,6241.379,2247.126,75.964,134.106,1.183,0.845,0.884
4,22988.507,0,68,674.118,1672.414,5155.173,178.161,195.402,181.683,161.104,66.431,0.636,209.199,1683.908,5327.586,52.815,164.818,1.128,0.887,0.871
5,7332.541,13,149,341.123,2385.058,2626.437,91.954,114.943,102.730,90.880,74.662,0.792,117.219,2431.035,2741.379,78.690,91.954,1.130,0.885,0.897
6,11890.607,0,95,544.892,6810.345,3132.184,143.678,143.678,134.731,112.369,164.421,0.503,156.971,6862.069,3132.184,113.749,137.680,1.199,0.834,0.782
7,13310.874,1,88,557.203,1793.103,2804.598,183.908,160.920,206.889,81.918,41.965,0.539,213.883,1793.103,2936.782,30.700,91.851,2.526,0.396,0.817
8,13641.169,0,57,498.915,1528.736,2149.425,166.667,137.931,157.203,110.484,160.335,0.689,170.874,1528.736,2178.161,160.346,124.728,1.423,0.703,0.872
9,35506.674,0,110,814.260,4431.035,2925.287,241.379,264.368,254.988,177.297,46.002,0.673,290.614,4528.736,3189.655,65.462,177.916,1.438,0.695,0.903
10,23483.949,1,71,897.509,1040.230,3287.356,344.828,178.161,373.299,80.098,157.782,0.366,363.480,1040.230,3321.839,161.565,92.372,4.661,0.215,0.823
11,45382.483,0,131,953.825,2396.552,1344.828,258.621,298.851,266.043,217.194,89.651,0.627,303.294,2505.747,1643.678,80.181,235.218,1.225,0.816,0.874
12,23649.096,1,142,736.350,5839.081,1189.655,155.172,224.138,230.841,130.440,73.609,0.548,242.472,5839.081,1396.552,58.570,140.045,1.770,0.565,0.899
13,17439.557,0,112,556.386,5965.517,2954.023,160.920,178.161,198.276,111.989,55.931,0.708,201.149,5971.265,3120.690,53.130,122.846,1.770,0.565,0.905
14,24507.862,1,77,797.427,4310.345,1712.644,206.897,252.874,272.459,114.529,56.880,0.484,294.397,4316.092,1942.529,51.340,149.119,2.379,0.420,0.769
15,8158.278,0,73,400.566,5310.345,1373.563,80.460,143.678,155.508,66.797,99.790,0.639,149.093,5316.092,1379.310,117.553,67.359,2.328,0.430,0.888
