 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,22129.741,11,90,665.990,477.012,614.943,172.414,201.149,197.273,142.830,101.268,0.627,216.645,534.483,614.943,111.801,169.800,1.381,0.724,0.839
2,83729.691,2,82,1352.658,1063.218,3143.678,356.322,408.046,378.785,281.447,62.285,0.575,414.829,1195.402,3551.724,79.624,291.635,1.346,0.743,0.909
3,95488.180,0,115,2040.820,4965.517,206.897,408.046,408.046,393.813,308.724,59.114,0.288,461.276,4965.517,540.230,30.719,332.618,1.276,0.784,0.824
4,52615.936,1,159,1020.001,3189.655,2442.529,235.632,321.839,296.073,226.271,83.416,0.636,325.107,3339.081,2442.529,98.130,232.535,1.308,0.764,0.929
