 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,11343.687,1,73,429.629,1882.576,2161.476,162.692,92.967,172.144,83.902,9.020,0.772,169.202,1882.576,2231.201,15.945,92.967,2.052,0.487,0.898
2,5806.887,1,78,343.470,6577.395,3823.256,69.725,139.450,143.078,51.675,69.443,0.619,155.910,6577.395,3962.706,63.435,62.518,2.769,0.361,0.843
3,11613.774,0,92,392.773,5845.282,3811.635,116.208,127.829,130.320,113.468,66.174,0.946,145.609,5856.903,3939.464,61.390,116.208,1.149,0.871,0.925
4,87778.528,0,141,1483.279,5229.377,4102.156,395.109,360.246,409.721,272.778,140.652,0.501,495.489,5240.998,4137.019,140.711,296.905,1.502,0.666,0.836
5,30519.919,0,112,719.808,5031.823,1580.434,185.933,244.038,228.445,170.103,106.773,0.740,253.803,5078.306,1824.472,74.055,179.553,1.343,0.745,0.873
6,22552.330,88,119,567.911,1440.984,3544.356,151.071,197.554,189.803,151.286,78.092,0.879,205.922,1522.330,3741.910,73.610,151.071,1.255,0.797,0.930
7,22822.417,1,71,626.841,2614.689,4206.744,162.692,220.796,197.170,147.377,81.314,0.730,228.313,2637.930,4427.539,75.256,160.586,1.338,0.747,0.864
8,35651.587,1,108,749.857,5182.894,4741.302,255.658,197.554,272.752,166.426,22.000,0.797,291.217,5182.894,4915.615,28.610,174.757,1.639,0.610,0.913
9,36056.718,0,77,761.136,5217.757,1719.884,220.796,278.900,253.962,180.771,109.201,0.782,279.867,5333.965,1998.784,85.236,187.139,1.405,0.712,0.890
10,22417.286,0,110,613.226,3370.043,2161.476,185.933,197.554,182.106,156.736,120.842,0.749,209.498,3404.906,2161.476,109.440,172.474,1.162,0.861,0.849
11,28224.173,0,70,670.505,6379.840,3265.456,197.554,209.175,195.973,183.373,92.119,0.789,223.531,6414.703,3265.456,117.897,197.554,1.069,0.936,0.899
12,27683.997,0,105,680.132,1882.576,4462.402,185.933,232.417,231.431,152.306,121.151,0.752,245.142,1905.818,4474.023,121.430,178.871,1.520,0.658,0.858
13,75759.622,0,66,1089.339,1266.671,2707.655,290.521,383.488,360.523,267.556,72.538,0.802,392.020,1406.121,3091.143,78.024,287.330,1.347,0.742,0.923
