 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,35921.675,0,101,777.086,6019.594,2045.268,220.796,209.175,229.577,199.223,133.473,0.748,279.867,6019.594,2045.268,138.366,200.181,1.152,0.868,0.908
2,26738.690,0,74,685.771,2068.509,2463.618,220.796,197.554,201.973,168.561,162.774,0.714,225.636,2068.509,2637.930,11.889,197.554,1.198,0.835,0.853
3,27143.822,0,71,617.214,2463.618,1836.092,185.933,197.554,195.619,176.673,56.666,0.895,214.278,2475.239,2010.405,40.601,181.954,1.107,0.903,0.914
4,12964.213,0,112,589.985,1812.851,2719.276,209.175,127.829,180.835,91.279,17.774,0.468,220.490,1812.851,2823.864,18.435,111.787,1.981,0.505,0.703
5,34031.060,0,91,1461.206,6565.774,1440.984,185.933,499.696,390.736,110.892,87.066,0.200,515.787,6565.774,1940.680,75.651,184.735,3.524,0.284,0.567
6,24037.812,0,104,629.661,5868.523,1440.984,209.175,185.933,201.702,151.739,136.110,0.762,222.016,5880.144,1464.226,132.879,163.718,1.329,0.752,0.877
7,21066.847,0,69,589.985,2033.647,3939.464,151.071,232.417,209.297,128.158,103.081,0.761,237.020,2080.130,3939.464,101.310,138.219,1.633,0.612,0.874
8,16880.486,0,84,511.801,3439.768,4962.098,162.692,139.450,168.016,127.921,162.470,0.810,183.742,3451.389,4985.340,145.305,139.450,1.313,0.761,0.877
9,249696.151,0,120,2055.178,5240.998,2800.622,627.525,522.938,656.591,484.203,19.417,0.743,702.652,5287.482,3311.939,34.216,501.159,1.356,0.737,0.928
10,42673.869,0,76,907.393,6681.982,4369.435,232.417,267.279,262.450,207.026,71.288,0.651,288.656,6705.224,4636.715,49.899,214.440,1.268,0.789,0.868
11,1175557.056,1,104,4919.827,2951.693,3033.039,883.184,1917.438,1796.627,833.098,90.726,0.610,1957.723,3230.593,4950.477,78.357,819.591,2.157,0.464,0.944
12,33896.016,0,67,732.255,5996.353,4113.777,220.796,232.417,215.044,200.693,77.037,0.794,239.570,6042.836,4346.194,67.166,217.814,1.072,0.933,0.888
13,42268.737,0,77,775.918,5833.661,1522.330,255.658,220.796,252.812,212.878,14.198,0.882,262.178,5833.661,1661.780,12.804,218.877,1.188,0.842,0.929
14,33220.797,0,76,866.549,1208.567,2556.584,302.142,197.554,268.377,157.607,13.585,0.556,316.121,1208.567,2730.897,17.103,190.831,1.703,0.587,0.756
15,152869.683,0,88,1698.578,3637.322,2544.964,499.696,557.800,655.240,297.051,127.734,0.666,667.364,3730.289,2544.964,125.074,302.220,2.206,0.453,0.910
16,88588.791,0,102,1242.887,3009.797,3230.593,348.625,406.729,398.549,283.014,59.871,0.721,423.005,3126.006,3637.322,74.055,295.818,1.408,0.710,0.914
17,29844.700,0,81,1317.768,2451.997,395.109,209.175,511.317,508.218,74.770,107.530,0.216,529.992,2486.859,395.109,105.255,94.210,6.797,0.147,0.727
18,100607.698,1,105,1300.166,2870.347,1185.326,348.625,429.971,446.226,287.069,65.801,0.748,457.365,2951.693,1615.297,62.784,291.049,1.554,0.643,0.929
19,8777.853,0,65,343.470,5531.519,1127.221,92.967,116.208,119.186,93.772,79.587,0.935,129.925,5543.140,1243.430,63.435,92.967,1.271,0.787,0.922
20,12288.994,1,101,495.366,337.004,1766.367,139.450,151.071,145.840,107.288,87.832,0.629,177.384,337.004,1917.438,58.392,129.730,1.359,0.736,0.802
21,834031.060,0,163,4520.531,4381.056,2905.210,813.459,1685.022,1483.287,715.924,87.232,0.513,1725.567,4578.610,4590.231,77.555,813.459,2.072,0.483,0.875
22,452126.941,0,165,3239.453,1766.367,1231.809,918.046,859.942,1037.459,554.881,131.607,0.541,1135.874,1905.818,1243.430,131.682,583.419,1.870,0.535,0.894
23,34706.280,1,85,826.389,1824.472,1510.709,162.692,313.763,311.474,141.872,82.740,0.639,327.246,1870.955,1824.472,73.496,161.523,2.195,0.455,0.900
24,377312.627,0,97,2770.798,2940.072,3404.906,883.184,906.425,1062.090,452.325,134.463,0.618,1090.751,2940.072,3439.768,128.946,451.945,2.348,0.426,0.937
25,36596.894,0,90,769.111,2103.372,3056.281,244.038,220.796,244.051,190.930,35.016,0.777,264.996,2126.613,3218.972,37.875,204.484,1.278,0.782,0.889
26,39567.860,0,107,929.467,1870.955,1406.121,302.142,278.900,353.777,142.404,137.308,0.576,372.048,1882.576,1417.742,141.340,177.784,2.484,0.403,0.834
27,160567.184,0,114,2423.341,941.288,1870.955,813.459,790.217,1074.457,190.273,45.543,0.344,1061.575,999.392,2661.172,48.106,231.261,5.647,0.177,0.777
28,59959.487,0,63,926.647,6612.257,1731.505,313.763,278.900,301.559,253.161,153.168,0.877,319.097,6612.257,1824.472,169.509,257.498,1.191,0.840,0.935
29,51721.810,1,123,1072.904,999.392,429.971,174.313,418.350,421.446,156.258,89.378,0.565,419.800,1069.117,429.971,94.764,174.313,2.697,0.371,0.859
30,56988.521,0,68,2041.363,871.563,2928.451,360.246,488.075,426.477,170.138,53.716,0.172,548.154,941.288,3416.527,57.995,216.089,2.507,0.399,0.655
31,34436.192,1,87,884.151,337.004,2696.035,185.933,290.521,266.583,164.472,99.272,0.554,296.274,371.867,2696.035,101.310,180.299,1.621,0.617,0.836
