 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,32137.668,1,77,756.550,3057.471,2954.023,178.161,252.874,260.683,156.968,112.047,0.706,275.203,3091.954,2959.770,118.706,164.731,1.661,0.602,0.924
2,30056.812,1,73,734.378,2195.402,4494.253,229.885,183.908,216.446,176.809,161.424,0.700,233.379,2195.402,4580.460,170.074,183.908,1.224,0.817,0.915
3,20081.914,0,78,588.897,3333.333,5436.782,195.402,166.667,200.784,127.346,153.446,0.728,208.328,3333.333,5500.000,155.556,138.020,1.577,0.634,0.893
4,44490.688,1,83,888.226,5821.839,3798.851,304.598,247.126,302.135,187.490,28.278,0.709,308.048,5821.839,3965.517,14.036,182.049,1.611,0.621,0.938
5,13509.051,1,57,521.903,1626.437,4011.494,155.172,160.920,139.124,123.633,1.642,0.623,169.028,1729.885,4011.494,107.819,147.797,1.125,0.889,0.857
6,33326.729,0,73,1039.384,1051.724,4120.690,321.839,195.402,230.248,184.292,171.856,0.388,323.681,1051.724,4132.184,173.884,192.102,1.249,0.800,0.703
7,25597.835,0,57,750.633,3683.908,5120.690,218.391,195.402,197.001,165.442,176.489,0.571,229.021,3683.908,5275.862,17.526,183.174,1.191,0.840,0.864
8,10767.605,7,53,472.321,4534.483,4321.839,183.908,91.954,191.368,71.641,167.098,0.607,191.043,4534.483,4339.081,164.291,75.533,2.671,0.374,0.886
9,86966.578,0,77,1341.164,2919.540,2201.149,454.023,356.322,403.927,274.132,166.413,0.608,460.129,2919.540,2362.069,170.655,284.624,1.473,0.679,0.895
10,21105.827,1,117,850.377,3132.184,3298.851,195.402,155.172,188.900,142.259,0.341,0.367,213.883,3143.678,3436.782,30.700,147.959,1.328,0.753,0.846
11,32401.904,0,75,750.633,4494.253,3988.506,235.632,224.138,240.283,171.695,40.377,0.723,266.235,4494.253,4143.678,32.661,191.000,1.399,0.715,0.887
12,37917.825,1,85,842.826,3270.115,2097.701,241.379,218.391,231.043,208.959,29.157,0.671,248.127,3270.115,2189.655,166.608,209.061,1.106,0.904,0.927
13,14268.728,0,70,476.504,4028.736,4666.667,149.425,143.678,139.986,129.781,153.603,0.790,158.124,4028.736,4752.874,19.093,137.154,1.079,0.927,0.906
14,18628.618,1,82,637.663,2224.138,3672.414,183.908,155.172,173.902,136.391,22.378,0.576,193.192,2229.885,3764.368,22.751,145.525,1.275,0.784,0.887
15,18463.470,0,68,543.497,4810.345,637.931,143.678,178.161,175.833,133.697,106.237,0.785,183.998,4867.816,637.931,104.470,141.786,1.315,0.760,0.915
16,35341.526,2,89,826.332,5724.138,4471.264,235.632,195.402,245.638,183.190,20.557,0.650,263.178,5735.632,4649.425,31.608,195.402,1.341,0.746,0.919
17,24772.098,3,66,623.380,6890.805,3333.333,195.402,183.908,186.443,169.171,52.878,0.801,200.739,6890.805,3436.782,13.241,177.407,1.102,0.907,0.909
18,20676.444,0,87,671.568,2580.460,3660.920,212.644,178.161,200.959,131.002,159.068,0.576,218.844,2580.460,3706.897,166.329,144.627,1.534,0.652,0.828
