 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
49,32666.140,0,90,1141.339,4034.483,3287.356,178.161,298.851,289.328,143.753,79.024,0.315,311.036,4114.943,3586.207,73.909,176.123,2.013,0.497,0.826
50,12452.108,1,114,1092.234,2908.046,4568.966,310.345,247.126,329.227,48.157,39.612,0.131,375.283,2931.035,4810.345,40.030,64.641,6.837,0.146,0.595
51,122770.517,0,78,1671.370,3080.460,2672.414,454.023,540.230,444.855,351.387,68.915,0.552,542.183,3362.069,2672.414,94.865,385.520,1.266,0.790,0.866
52,30023.783,10,83,779.777,6890.805,2362.069,281.609,201.149,273.468,139.788,155.811,0.620,290.784,6896.552,2442.529,161.565,165.198,1.956,0.511,0.884
53,58660.328,0,93,1152.016,4350.575,3540.230,293.103,333.333,346.600,215.490,130.845,0.555,378.133,4356.322,3563.218,133.152,246.961,1.608,0.622,0.865
54,23417.890,0,78,823.782,1385.058,3442.529,189.655,247.126,199.383,149.544,98.027,0.434,261.731,1482.759,3442.529,109.231,179.328,1.333,0.750,0.780
55,173569.833,0,99,2752.787,4402.299,2913.793,477.012,718.391,575.945,383.710,80.041,0.288,728.458,4637.931,2913.793,99.537,431.815,1.501,0.666,0.777
56,53507.732,0,77,1265.564,3252.874,3109.195,224.138,362.069,356.371,191.172,96.534,0.420,365.745,3356.322,3471.264,81.870,209.138,1.864,0.536,0.862
57,25168.452,0,103,1008.746,3856.322,4327.586,212.644,212.644,232.556,137.797,36.911,0.311,270.176,3862.069,4540.230,51.911,158.489,1.688,0.593,0.833
58,10668.517,1,87,700.712,4419.540,1977.012,143.678,166.667,133.060,102.086,93.836,0.273,172.892,4465.517,2143.678,74.578,125.989,1.303,0.767,0.683
59,11758.489,0,93,754.000,2385.058,2045.977,149.425,149.425,156.447,95.696,135.921,0.260,203.354,2385.058,2045.977,137.291,112.018,1.635,0.612,0.733
60,61732.068,0,71,1126.577,2568.966,1126.437,252.874,373.563,345.820,227.285,76.091,0.611,413.873,2614.943,1500.000,64.502,248.861,1.522,0.657,0.879
61,14797.200,0,107,562.542,3494.253,2166.667,155.172,183.908,191.078,98.600,124.656,0.588,205.615,3528.736,2166.667,116.565,113.167,1.938,0.516,0.823
62,33623.994,0,88,852.109,4775.862,2017.241,183.908,270.115,278.498,153.723,105.083,0.582,279.313,4787.356,2057.471,126.634,156.170,1.812,0.552,0.906
