 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,8488.572,1,74,651.129,2678.161,2620.690,160.920,143.678,123.728,87.353,175.074,0.252,163.465,2678.161,2689.655,10.125,134.455,1.416,0.706,0.540
2,10173.075,0,53,487.421,2293.104,2649.425,120.690,166.667,145.592,88.966,111.066,0.538,172.892,2339.081,2649.425,105.422,104.397,1.636,0.611,0.791
3,47826.664,0,63,1044.384,3040.230,2005.747,275.862,287.356,285.213,213.507,120.469,0.551,304.598,3057.471,2074.713,148.109,242.729,1.336,0.749,0.825
4,91062.232,0,68,1281.242,6293.104,4068.966,333.333,442.529,489.843,236.696,59.720,0.697,499.041,6321.839,4505.747,61.074,245.554,2.069,0.483,0.943
5,23583.037,0,82,638.818,6172.414,3580.460,183.908,166.667,196.296,152.967,33.183,0.726,226.483,6172.414,3735.632,35.707,157.810,1.283,0.779,0.924
6,16811.997,4,91,546.286,4563.219,4419.540,166.667,178.161,150.728,142.016,107.751,0.708,180.463,4666.667,4419.540,99.162,149.038,1.061,0.942,0.870
7,39965.651,0,77,1052.512,2465.517,4614.943,183.908,356.322,335.054,151.874,79.442,0.453,356.739,2563.218,4971.264,87.230,165.119,2.206,0.453,0.843
8,70253.670,0,95,1286.581,1655.172,3172.414,356.322,304.598,332.176,269.284,5.559,0.533,359.276,1655.172,3390.805,7.352,303.892,1.234,0.811,0.856
9,10569.428,1,63,445.388,3114.943,4534.483,143.678,137.931,138.388,97.244,30.070,0.670,147.758,3114.943,4597.701,13.496,111.214,1.423,0.703,0.836
10,32798.258,1,74,738.322,4132.184,4011.494,218.391,201.149,217.227,192.241,140.379,0.756,244.168,4132.184,4063.218,153.435,200.211,1.130,0.885,0.919
11,64011.101,0,98,1283.115,4896.552,4839.081,436.782,402.299,565.876,144.027,139.743,0.489,525.006,4919.540,4856.322,138.106,147.029,3.929,0.255,0.897
12,20742.503,0,70,631.507,862.069,4959.770,155.172,229.885,226.683,116.507,111.529,0.654,243.559,879.310,4959.770,109.290,132.752,1.946,0.514,0.883
13,14466.905,1,84,538.736,4672.414,2557.471,120.690,206.897,175.727,104.820,92.058,0.626,207.614,4701.150,2764.368,85.236,119.181,1.676,0.596,0.864
14,12386.049,1,100,475.687,6086.207,2321.839,137.931,137.931,134.123,117.582,22.871,0.688,149.093,6086.207,2333.333,152.447,135.688,1.141,0.877,0.848
15,19421.325,1,74,764.100,1310.345,2005.747,172.414,160.920,169.564,145.833,15.029,0.418,219.597,1310.345,2166.667,47.121,160.920,1.163,0.860,0.767
16,16250.496,1,76,631.507,1051.724,2833.333,166.667,183.908,167.148,123.787,84.203,0.512,200.739,1103.448,2833.333,113.629,140.548,1.350,0.741,0.769
17,26126.306,1,77,988.885,4408.046,3787.356,367.816,235.632,411.117,80.914,149.524,0.336,424.043,4408.046,3793.104,147.171,87.747,5.081,0.197,0.844
18,23384.860,0,129,697.923,4385.058,3344.828,189.655,212.644,182.173,163.441,88.847,0.603,215.421,4465.517,3344.828,99.211,176.127,1.115,0.897,0.855
19,69989.434,0,80,1120.661,6528.736,5218.391,373.563,247.126,367.640,242.393,174.979,0.700,377.958,6528.736,5327.586,8.746,244.675,1.517,0.659,0.939
