 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,16646.850,0,89,520.509,4212.644,2971.264,189.655,132.184,179.623,117.999,5.277,0.772,192.764,4212.644,3057.471,10.305,131.949,1.522,0.657,0.915
2,27084.160,1,103,673.540,3885.058,4844.828,218.391,201.149,203.885,169.138,23.742,0.750,220.273,3885.058,4959.770,7.496,184.292,1.205,0.830,0.895
3,12319.990,1,85,565.908,2827.586,3839.081,195.402,166.667,235.263,66.676,34.705,0.483,245.046,2827.586,4000.000,39.289,78.368,3.528,0.283,0.821
4,21601.269,0,59,618.618,6459.770,4758.621,195.402,155.172,194.486,141.416,174.818,0.709,198.422,6459.770,4862.069,10.008,153.993,1.375,0.727,0.890
5,12782.403,0,70,475.109,3988.506,4706.897,120.690,155.172,148.103,109.890,81.112,0.712,161.841,4051.724,4862.069,73.496,118.155,1.348,0.742,0.894
6,25630.864,0,79,724.856,2132.184,2982.759,178.161,201.149,192.432,169.588,114.999,0.613,213.883,2183.908,2982.759,120.700,178.161,1.135,0.881,0.901
7,20379.179,0,68,611.068,2448.276,3080.460,155.172,201.149,199.138,130.300,72.221,0.686,218.844,2482.759,3281.609,60.068,143.596,1.528,0.654,0.867
8,21766.417,0,127,1019.424,5241.379,2994.253,195.402,189.655,181.383,152.792,24.885,0.263,210.772,5264.368,3183.908,64.134,185.761,1.187,0.842,0.769
9,22195.800,0,88,836.671,1752.874,4936.782,275.862,235.632,297.365,95.037,33.549,0.398,346.023,1752.874,5172.414,41.634,129.449,3.129,0.320,0.783
10,47760.605,0,161,989.702,5603.448,2482.759,247.126,287.356,270.782,224.574,79.153,0.613,303.511,5683.908,2770.115,71.222,245.011,1.206,0.829,0.875
11,25597.835,0,91,678.062,3137.931,3551.724,201.149,172.414,204.002,159.764,19.056,0.700,218.466,3137.931,3701.150,35.362,165.390,1.277,0.783,0.923
12,24871.186,1,90,683.640,2942.529,2982.759,218.391,189.655,227.561,139.158,137.432,0.669,248.659,2948.276,2988.506,146.310,158.063,1.635,0.612,0.876
13,162802.228,0,112,2198.950,5563.219,4005.747,522.989,741.379,780.310,265.646,122.045,0.423,829.121,5609.196,4022.989,125.122,307.964,2.937,0.340,0.848
14,32005.551,1,72,789.060,896.552,3718.391,270.115,195.402,254.505,160.118,18.775,0.646,285.338,896.552,3885.058,34.330,167.213,1.589,0.629,0.883
15,61765.098,0,154,1661.270,4120.690,2988.506,316.092,356.322,288.611,272.483,74.325,0.281,358.586,4178.161,2988.506,96.442,303.377,1.059,0.944,0.851
16,25729.952,0,94,729.039,3982.759,3729.885,218.391,183.908,192.983,169.758,156.267,0.608,229.021,3982.759,3747.127,162.474,181.480,1.137,0.880,0.897
17,51195.669,0,97,1294.947,4798.851,2793.104,425.287,195.402,399.657,163.101,5.164,0.384,429.960,4798.851,2942.529,8.455,195.402,2.450,0.408,0.834
18,109459.643,0,73,1623.998,1057.471,3063.218,431.034,517.241,539.079,258.530,117.807,0.522,544.280,1189.655,3063.218,111.689,281.692,2.085,0.480,0.840
19,26489.630,0,84,1009.085,3770.115,2074.713,143.678,339.080,330.934,101.917,99.014,0.327,344.923,3816.092,2074.713,100.561,122.225,3.247,0.308,0.751
20,178127.899,0,110,2367.758,1942.529,2367.816,522.989,574.713,507.090,447.257,132.337,0.399,660.395,1965.517,2367.816,121.477,511.614,1.134,0.882,0.822
21,106354.874,0,120,1357.997,5241.379,3051.724,471.264,356.322,424.467,319.024,168.599,0.725,478.084,5241.379,3183.908,170.311,343.924,1.331,0.752,0.923
22,21931.564,0,78,836.671,2867.816,2166.667,218.391,189.655,188.219,148.360,24.479,0.394,236.681,2879.310,2350.575,29.055,162.531,1.269,0.788,0.802
23,24375.744,0,138,732.744,4103.448,2695.402,114.943,270.115,276.759,112.141,90.165,0.571,271.821,4120.690,2695.402,103.449,114.943,2.468,0.405,0.890
24,56249.177,0,64,1069.584,890.805,3310.345,333.333,304.598,325.078,220.313,145.301,0.618,337.176,931.035,3356.322,150.376,241.869,1.476,0.678,0.853
25,7596.777,0,85,500.309,4448.276,3574.713,143.678,137.931,160.232,60.366,43.776,0.381,172.414,4454.023,3706.897,36.870,77.024,2.654,0.377,0.714
26,84192.104,0,102,1380.746,5540.230,4436.782,316.092,505.747,501.660,213.684,111.082,0.555,536.826,5643.678,4442.529,111.346,240.856,2.348,0.426,0.904
27,11263.047,0,56,475.926,5011.494,3442.529,120.690,149.425,132.785,107.999,76.174,0.625,153.352,5028.736,3442.529,102.995,120.690,1.230,0.813,0.827
28,35836.968,0,89,880.437,1821.839,2390.805,298.851,172.414,301.127,151.528,7.844,0.581,316.249,1821.839,2534.483,19.093,172.178,1.987,0.503,0.909
29,22856.389,1,88,652.524,2408.046,3362.069,189.655,183.908,186.772,155.814,34.395,0.675,215.728,2454.023,3545.977,48.240,166.617,1.199,0.834,0.868
30,41716.213,0,87,923.286,5005.747,3431.035,304.598,264.368,331.896,160.034,35.260,0.615,334.816,5022.989,3660.920,39.428,177.351,2.074,0.482,0.853
31,16151.408,0,89,525.848,1206.897,3310.345,155.172,155.172,164.262,125.194,42.698,0.734,185.072,1229.885,3465.517,53.842,137.649,1.312,0.762,0.889
32,22493.065,0,62,608.519,5143.678,2235.632,189.655,189.655,171.712,166.785,105.886,0.763,198.172,5206.897,2235.632,106.858,167.031,1.030,0.971,0.913
33,45085.218,0,132,1078.289,4712.644,3971.264,327.586,218.391,300.554,190.995,178.182,0.487,328.392,4712.644,4057.471,175.986,218.391,1.574,0.635,0.825
34,75967.767,0,73,1164.666,1477.012,3011.494,333.333,321.839,350.107,276.273,39.333,0.704,384.156,1545.977,3333.333,51.072,300.699,1.267,0.789,0.900
35,48123.929,0,70,1037.074,3396.552,3522.989,287.356,252.874,268.800,227.951,24.873,0.562,304.164,3396.552,3695.402,22.203,240.599,1.179,0.848,0.891
36,13277.844,0,85,530.609,4097.701,4471.264,126.437,178.161,180.635,93.591,64.573,0.593,203.192,4126.437,4649.425,61.260,101.812,1.930,0.518,0.878
37,29264.105,0,159,746.450,4678.161,919.540,206.897,229.885,197.912,188.267,22.067,0.660,231.032,4793.104,1149.425,84.289,200.509,1.051,0.951,0.844
38,41518.036,0,103,841.671,3936.782,2919.540,264.368,287.356,242.372,218.105,98.077,0.736,287.873,4063.218,3206.897,86.566,217.670,1.111,0.900,0.919
39,79501.920,0,129,1310.625,4390.805,4333.333,356.322,379.310,389.624,259.802,50.370,0.582,403.651,4390.805,4626.437,28.025,281.896,1.500,0.667,0.886
40,114810.417,0,112,2342.220,2350.575,2385.058,258.621,574.713,606.893,240.868,86.896,0.263,586.094,2402.299,2385.058,101.310,253.023,2.520,0.397,0.887
41,20181.002,0,99,716.150,1040.230,3752.874,178.161,201.149,181.436,141.622,66.446,0.494,202.459,1091.954,3752.874,96.520,167.213,1.281,0.781,0.847
42,94133.972,0,93,1497.661,1994.253,3500.000,327.586,511.494,480.749,249.309,70.679,0.527,549.625,1994.253,4011.494,68.532,257.717,1.928,0.519,0.917
43,49114.813,0,162,1324.430,3873.563,4482.759,206.897,477.012,461.419,135.527,108.472,0.352,499.868,3925.287,4482.759,107.393,179.617,3.405,0.294,0.785
44,26357.512,0,163,791.511,5545.977,2706.897,252.874,201.149,277.344,121.003,35.922,0.529,274.181,5568.966,2902.299,33.024,121.354,2.292,0.436,0.904
45,72962.086,0,171,2002.393,2988.506,2867.816,275.862,431.034,394.183,235.673,106.940,0.229,447.612,3057.471,2867.816,105.642,263.503,1.673,0.598,0.822
46,59486.065,0,61,1058.668,1362.069,2936.782,281.609,373.563,339.635,223.004,69.198,0.667,398.214,1448.276,3310.345,69.734,234.747,1.523,0.657,0.896
47,20577.356,0,99,820.993,3183.908,3666.667,178.161,212.644,185.925,140.917,73.844,0.384,247.193,3212.644,3879.310,54.462,171.009,1.319,0.758,0.734
48,40725.329,0,86,881.493,3637.931,2103.448,264.368,264.368,262.722,197.368,36.615,0.659,288.790,3660.920,2350.575,58.841,199.129,1.331,0.751,0.892
49,28537.457,0,95,968.108,5770.115,4793.104,206.897,241.379,208.010,174.679,67.626,0.383,262.613,5862.069,5034.483,66.801,199.935,1.191,0.840,0.855
50,21105.827,0,69,659.834,5258.621,3011.494,178.161,206.897,188.756,142.368,115.574,0.609,226.702,5304.598,3011.494,120.466,169.363,1.326,0.754,0.883
51,52781.083,0,104,1063.090,1890.805,1666.667,344.828,362.069,444.374,151.231,47.986,0.587,419.580,1890.805,1959.770,36.085,162.710,2.938,0.340,0.904
52,27348.396,0,94,820.754,3258.621,3419.540,304.598,137.931,315.116,110.502,170.105,0.510,309.492,3264.368,3454.023,164.932,117.487,2.852,0.351,0.877
53,6473.775,2,106,560.330,2448.276,4304.598,97.701,114.943,124.608,66.149,62.417,0.259,138.409,2454.023,4419.540,48.366,84.421,1.884,0.531,0.750
54,24673.010,0,108,695.951,281.609,2833.333,247.126,189.655,242.977,129.291,27.411,0.640,263.680,281.609,2977.012,20.410,140.985,1.879,0.532,0.872
55,26456.601,0,76,693.979,1074.713,3896.552,252.874,206.897,263.563,127.808,34.689,0.690,267.164,1074.713,4045.977,18.825,138.365,2.062,0.485,0.895
56,127163.436,0,98,1673.919,6298.851,3626.437,482.759,454.023,434.374,372.742,20.886,0.570,496.586,6362.069,4080.460,66.105,414.511,1.165,0.858,0.871
57,59386.976,0,71,1059.245,6247.127,3689.655,310.345,298.851,330.731,228.626,136.122,0.665,358.816,6247.127,3758.621,148.092,251.380,1.447,0.691,0.902
58,29957.724,0,84,893.325,5224.138,3126.437,218.391,218.391,205.497,185.615,100.715,0.472,271.274,5241.379,3126.437,126.384,213.077,1.107,0.903,0.761
59,35803.939,0,94,1038.229,5327.586,2522.989,178.161,362.069,336.837,135.339,80.757,0.417,375.019,5373.563,2885.058,74.899,171.143,2.489,0.402,0.787
60,22327.918,0,78,628.141,4522.989,1752.874,189.655,160.920,193.879,146.632,165.583,0.711,208.962,4528.736,1798.851,148.496,159.543,1.322,0.756,0.897
61,20445.238,1,100,720.095,1580.460,3201.150,132.184,270.115,256.250,101.587,96.146,0.495,273.094,1620.690,3201.150,98.471,120.852,2.522,0.396,0.791
62,26819.925,2,212,698.763,3528.736,2356.322,275.862,160.920,270.031,126.460,22.870,0.690,284.352,3528.736,2436.782,14.036,133.726,2.135,0.468,0.900
63,14004.493,1,96,460.826,4022.989,3206.897,137.931,126.437,140.082,127.291,172.773,0.829,155.279,4040.230,3218.391,141.009,126.437,1.100,0.909,0.929
64,45910.955,0,86,950.219,2212.644,2614.943,298.851,235.632,304.072,192.243,24.073,0.639,332.192,2224.138,2833.333,37.266,208.353,1.582,0.632,0.886
65,52087.465,0,102,1241.998,4241.379,4660.920,304.598,316.092,300.698,220.553,148.924,0.424,342.232,4270.115,4666.667,139.086,253.738,1.363,0.733,0.802
66,23814.243,1,73,767.466,252.874,3212.644,275.862,149.425,247.871,122.327,5.175,0.508,276.101,252.874,3316.092,177.614,144.000,2.026,0.494,0.857
67,14400.846,1,77,575.191,2597.701,4114.943,109.195,212.644,194.416,94.312,95.400,0.547,213.342,2626.437,4114.943,94.635,105.834,2.061,0.485,0.838
68,10404.281,0,100,619.435,1568.966,5373.563,183.908,109.195,161.119,82.220,10.400,0.341,185.339,1568.966,5431.035,172.875,109.195,1.960,0.510,0.746
69,63086.276,0,148,1766.113,3655.173,4189.655,373.563,413.793,433.498,185.293,136.209,0.254,504.177,3660.920,4189.655,133.152,214.488,2.340,0.427,0.788
70,32401.904,0,73,919.103,6919.540,3948.276,316.092,189.655,295.916,139.416,2.976,0.482,319.418,6919.540,4080.460,171.724,186.144,2.123,0.471,0.773
71,42211.655,1,76,847.109,4994.253,3735.632,201.149,275.862,288.569,186.249,90.722,0.739,294.621,5057.471,4011.494,69.444,194.565,1.549,0.645,0.911
72,29198.046,0,69,699.895,6419.540,5505.747,218.391,218.391,196.564,189.130,16.880,0.749,232.741,6482.759,5724.138,69.775,182.536,1.039,0.962,0.916
