 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,101961.955,20,112,1324.430,5591.954,3718.391,356.322,425.287,444.907,291.796,112.007,0.730,437.688,5672.414,3741.379,119.932,300.392,1.525,0.656,0.931
2,6704.981,1,95,316.740,1028.736,2908.046,86.207,103.448,107.101,79.710,60.829,0.840,114.943,1040.230,3005.747,53.130,85.048,1.344,0.744,0.914
3,28570.486,15,107,752.605,5862.069,3201.150,183.908,264.368,248.865,146.172,116.642,0.634,278.068,5890.805,3201.150,108.060,181.226,1.703,0.587,0.847
4,108699.966,5,97,1608.659,2511.494,2229.885,344.828,488.506,520.904,265.694,61.649,0.528,572.553,2517.241,2712.644,54.395,303.376,1.961,0.510,0.921
5,47430.310,7,118,1044.384,3224.138,5413.793,287.356,258.621,256.671,235.282,16.562,0.546,289.418,3224.138,5511.494,6.843,254.820,1.091,0.917,0.859
6,150977.680,0,175,1683.541,5620.690,2448.276,373.563,597.701,612.066,314.068,102.511,0.669,601.667,5764.368,3045.977,83.418,315.597,1.949,0.513,0.944
7,20214.032,18,82,605.152,6482.759,3793.104,183.908,178.161,192.639,133.604,37.300,0.694,206.017,6500.000,3971.264,59.859,144.821,1.442,0.694,0.882
8,20808.562,0,64,642.424,3695.402,1287.356,201.149,189.655,218.427,121.296,145.242,0.634,226.702,3701.150,1304.598,149.534,139.664,1.801,0.555,0.880
9,18133.176,2,134,738.561,1729.885,2149.425,195.402,149.425,169.131,136.509,162.275,0.418,197.504,1729.885,2195.402,171.634,149.425,1.239,0.807,0.845
10,18331.352,1,96,1017.452,3775.862,3436.782,212.644,206.897,159.485,146.347,116.178,0.223,236.262,3775.862,3459.770,131.055,190.892,1.090,0.918,0.606
11,49973.579,0,97,1073.528,2385.058,2988.506,413.793,229.885,420.337,151.374,157.183,0.545,432.679,2385.058,3034.483,163.009,168.791,2.777,0.360,0.902
12,28999.869,1,72,825.177,2603.448,4488.506,270.115,218.391,290.251,127.213,32.728,0.535,306.543,2603.448,4672.414,30.411,147.830,2.282,0.438,0.839
13,33392.788,1,127,952.430,4787.356,1672.414,235.632,247.126,238.200,178.493,44.431,0.463,287.356,4810.345,1902.299,53.130,203.192,1.335,0.749,0.834
14,17769.852,1,76,576.825,1821.839,2793.104,178.161,166.667,164.252,137.747,26.160,0.671,183.998,1821.839,2908.046,14.470,145.642,1.192,0.839,0.861
15,35242.438,2,94,902.270,103.448,2931.035,287.356,224.138,277.951,161.439,156.037,0.544,315.621,103.448,2977.012,146.889,179.565,1.722,0.581,0.844
