 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,51790.199,0,74,1250.703,2678.161,4155.173,310.345,229.885,316.908,208.077,5.595,0.416,339.616,2678.161,4367.816,23.962,224.287,1.523,0.657,0.864
2,107444.846,0,114,1821.274,5011.494,718.391,448.276,471.264,384.007,356.252,67.393,0.407,473.502,5224.138,718.391,95.572,351.711,1.078,0.928,0.857
3,51327.787,0,71,938.725,4678.161,4252.874,304.598,258.621,269.888,242.147,10.910,0.732,309.972,4678.161,4350.575,10.685,253.700,1.115,0.897,0.931
4,32897.346,0,112,930.019,3132.184,3500.000,201.149,356.322,357.972,117.010,114.035,0.478,388.643,3172.414,3500.000,113.532,133.035,3.059,0.327,0.875
5,38545.384,0,49,1106.377,1143.678,4419.540,183.908,413.793,421.832,116.344,79.112,0.396,416.340,1224.138,4833.333,83.660,158.762,3.626,0.276,0.727
6,497886.139,0,138,7070.128,2356.322,1482.759,919.540,908.046,928.684,682.609,38.758,0.125,1071.620,2540.230,2356.322,54.605,741.394,1.360,0.735,0.825
7,28273.221,0,79,681.428,4804.598,413.793,183.908,201.149,203.907,176.544,107.828,0.765,225.314,4833.333,431.034,127.747,183.908,1.155,0.866,0.922
8,27843.838,1,88,680.034,1390.805,1724.138,183.908,195.402,199.709,177.517,97.496,0.757,220.048,1396.552,1752.874,130.764,183.908,1.125,0.889,0.937
9,20511.297,1,72,620.591,511.494,931.035,172.414,155.172,177.374,147.236,141.148,0.669,195.233,528.736,936.782,137.386,155.172,1.205,0.830,0.914
10,16448.673,1,53,619.435,5758.621,597.701,183.908,195.402,213.085,98.285,131.968,0.539,223.843,5821.839,597.701,119.197,114.057,2.168,0.461,0.835
11,14268.728,0,75,474.532,5057.471,3258.621,155.172,149.425,138.835,130.857,12.112,0.796,160.303,5057.471,3316.092,165.466,134.561,1.061,0.943,0.895
12,37521.471,0,151,984.702,620.690,2034.483,206.897,287.356,269.054,177.562,82.993,0.486,301.710,643.678,2034.483,107.745,196.308,1.515,0.660,0.861
13,77255.916,0,72,1253.253,6431.035,1885.058,264.368,459.770,446.084,220.508,77.308,0.618,465.801,6494.253,2344.828,80.770,256.930,2.023,0.494,0.896
14,55918.882,0,52,1224.587,2005.747,3712.644,373.563,327.586,421.646,168.858,138.448,0.469,439.082,2005.747,3758.621,142.980,206.189,2.497,0.400,0.793
15,24276.656,1,94,1398.057,4172.414,3258.621,201.149,293.103,271.105,114.015,65.384,0.156,303.946,4258.621,3551.724,74.650,137.113,2.378,0.421,0.728
16,17736.822,0,80,631.507,4666.667,4091.954,143.678,183.908,186.499,121.091,67.266,0.559,191.302,4678.161,4270.115,57.265,134.832,1.540,0.649,0.888
17,31047.696,0,53,751.450,3379.310,2091.954,258.621,206.897,247.062,160.005,151.667,0.691,264.929,3379.310,2201.149,167.471,167.823,1.544,0.648,0.899
18,62095.392,0,83,1212.854,5695.402,2160.920,270.115,367.816,342.537,230.814,71.002,0.530,409.178,5747.127,2517.241,60.555,270.115,1.484,0.674,0.851
19,18892.853,0,64,585.530,1948.276,2620.690,183.908,160.920,175.063,137.409,153.345,0.692,200.739,1948.276,2678.161,156.371,155.697,1.274,0.785,0.868
20,23781.214,0,67,651.129,3982.759,3563.218,183.908,178.161,200.660,150.898,145.011,0.705,219.973,3982.759,3603.448,146.725,156.834,1.330,0.752,0.915
21,16911.086,1,66,590.291,2724.138,3149.425,178.161,201.149,202.726,106.212,137.465,0.610,234.579,2770.115,3149.425,120.964,115.758,1.909,0.524,0.871
22,19982.826,0,44,662.046,3494.253,2752.874,172.414,212.644,215.481,118.075,127.402,0.573,234.015,3540.230,2752.874,114.677,133.316,1.825,0.548,0.836
23,12386.049,1,70,472.321,6252.874,2632.184,126.437,149.425,136.525,115.513,102.632,0.698,162.248,6258.621,2781.609,67.068,126.437,1.182,0.846,0.882
