 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,62921.129,0,105,1212.037,1890.805,2672.414,201.149,471.264,446.767,179.319,100.218,0.538,491.035,1913.793,2672.414,106.314,198.165,2.491,0.401,0.896
2,161547.108,0,175,2179.328,1758.621,3120.690,551.724,500.000,486.331,422.939,2.356,0.427,553.189,1758.621,3281.609,175.830,491.203,1.150,0.870,0.841
3,79171.625,0,142,1258.592,3781.609,3344.828,310.345,379.310,386.476,260.830,71.302,0.628,411.432,3781.609,3701.150,41.035,248.557,1.482,0.675,0.937
4,22327.918,0,54,677.484,7051.724,2931.035,229.885,143.678,223.887,126.978,162.608,0.611,241.653,7057.471,2942.529,154.654,143.581,1.763,0.567,0.888
5,21865.505,0,74,736.012,540.230,3057.471,229.885,218.391,248.181,112.176,142.162,0.507,258.301,563.218,3057.471,122.276,118.981,2.212,0.452,0.825
6,45910.955,0,160,1419.074,2867.816,3614.943,339.080,241.379,319.513,182.952,151.290,0.286,348.496,2867.816,3706.897,166.651,206.458,1.746,0.573,0.856
7,13839.345,0,105,535.370,5103.448,4505.747,143.678,160.920,168.231,104.742,59.802,0.607,191.043,5103.448,4666.667,43.781,116.234,1.606,0.623,0.851
8,66521.340,0,95,1120.661,3925.287,2919.540,356.322,264.368,354.888,238.660,9.744,0.666,367.996,3925.287,3000.000,165.530,245.800,1.487,0.672,0.915
9,34945.173,0,130,971.813,3913.793,3206.897,166.667,293.103,291.204,152.792,94.669,0.465,304.164,3954.023,3206.897,112.203,166.667,1.906,0.525,0.845
10,27810.809,0,84,759.578,5701.150,4896.552,201.149,258.621,258.154,137.166,123.135,0.606,276.460,5729.885,4896.552,110.695,146.739,1.882,0.531,0.871
11,38908.708,1,87,856.870,3321.839,5425.287,304.598,178.161,290.899,170.300,178.059,0.666,309.972,3321.839,5522.989,10.685,178.161,1.708,0.585,0.912
12,28504.427,0,95,699.317,3724.138,5074.713,218.391,218.391,208.041,174.451,51.663,0.732,223.178,3810.345,5293.104,78.111,181.133,1.193,0.839,0.907
13,21370.063,0,63,634.296,6275.862,3373.563,218.391,183.908,247.845,109.783,146.795,0.667,248.659,6275.862,3413.793,146.310,118.964,2.258,0.443,0.904
14,20643.415,1,77,646.368,2224.138,3689.655,224.138,126.437,219.851,119.553,0.277,0.621,232.883,2224.138,3793.104,15.751,126.437,1.839,0.544,0.890
15,116858.243,0,121,2680.454,5471.265,2051.724,367.816,494.253,466.486,318.956,66.403,0.204,537.195,5517.242,2540.230,63.983,367.816,1.463,0.684,0.874
16,64242.307,1,96,1486.645,5137.931,1091.954,390.805,402.299,484.191,168.933,136.926,0.365,522.451,5178.161,1091.954,129.644,209.734,2.866,0.349,0.805
17,23186.684,0,94,680.851,4293.104,5431.035,218.391,149.425,216.845,136.144,174.463,0.629,228.877,4293.104,5459.770,151.504,148.311,1.593,0.628,0.887
