 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,13806.316,1,77,486.604,5936.782,2781.609,160.920,120.690,154.418,113.839,13.976,0.733,167.556,5936.782,2879.310,30.964,120.690,1.356,0.737,0.890
2,15028.406,2,74,1148.649,4459.770,2258.621,350.575,120.690,274.527,69.701,8.339,0.143,354.370,4459.770,2356.322,8.393,116.947,3.939,0.254,0.505
3,21072.798,1,74,568.458,6649.425,1718.391,178.161,166.667,173.975,154.222,3.761,0.819,183.368,6712.644,1885.058,57.804,163.047,1.128,0.886,0.928
4,16217.467,0,74,554.175,5448.276,4160.920,114.943,189.655,193.461,106.733,84.682,0.664,196.414,5454.023,4350.575,69.444,109.762,1.813,0.552,0.892
5,13013.609,0,62,532.581,5580.460,3942.529,160.920,137.931,157.384,105.280,47.920,0.577,204.649,5580.460,4068.966,38.157,127.638,1.495,0.669,0.826
6,3104.770,0,130,267.396,2534.483,1201.149,63.218,68.966,67.234,58.797,134.923,0.546,81.682,2534.483,1201.149,129.289,63.218,1.143,0.875,0.839
7,24309.685,0,132,770.833,6247.127,2862.069,178.161,229.885,210.974,146.710,124.861,0.514,247.594,6321.839,2862.069,111.801,176.848,1.438,0.695,0.806
8,8323.425,1,65,544.892,2350.575,1609.195,109.195,172.414,139.074,76.202,88.678,0.352,177.045,2408.046,1781.609,76.866,108.897,1.825,0.548,0.707
9,28570.486,0,81,766.889,4109.196,2304.598,235.632,235.632,284.977,127.649,43.696,0.610,313.574,4120.690,2540.230,48.715,146.298,2.233,0.448,0.915
10,85249.046,0,133,1594.615,3132.184,4609.196,304.598,396.552,408.091,265.976,100.716,0.421,409.016,3206.897,4614.943,109.708,287.256,1.534,0.652,0.866
11,43929.187,0,161,1049.145,3798.851,2959.770,287.356,252.874,280.378,199.489,150.322,0.502,326.576,3798.851,2982.759,151.631,229.705,1.405,0.712,0.881
