 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,601961.980,0,227,4439.834,2741.379,3298.851,896.552,1091.954,954.608,802.886,85.679,0.384,1094.507,3045.977,3298.851,93.914,892.138,1.189,0.841,0.859
2,100772.894,2,65,1710.614,5833.333,3770.115,413.793,586.207,636.711,201.517,58.895,0.433,681.101,5873.563,4356.322,58.456,259.817,3.160,0.316,0.812
3,73391.469,0,141,1724.897,3356.322,4333.333,390.805,367.816,325.664,286.937,157.575,0.310,397.882,3356.322,4488.506,169.177,323.074,1.135,0.881,0.811
4,59519.094,0,150,1249.787,2798.851,2741.379,339.080,304.598,300.039,252.574,157.464,0.479,344.923,2798.851,2862.069,169.439,268.213,1.188,0.842,0.855
5,29990.753,0,97,990.280,2425.287,3683.908,258.621,229.885,262.447,145.497,143.529,0.384,296.688,2425.287,3695.402,134.215,176.002,1.804,0.554,0.785
6,26985.072,2,73,788.722,5591.954,2672.414,218.391,235.632,245.061,140.203,45.429,0.545,293.047,5609.196,2908.046,48.180,146.298,1.748,0.572,0.865
7,11989.695,1,86,632.902,3718.391,2954.023,172.414,97.701,169.552,90.036,176.163,0.376,185.695,3718.391,2971.264,158.199,97.701,1.883,0.531,0.844
8,12749.373,2,90,780.594,3729.885,2775.862,137.931,189.655,177.917,91.239,117.863,0.263,213.883,3741.379,2781.609,120.700,116.338,1.950,0.513,0.780
9,518463.495,0,163,3525.014,333.333,4011.494,982.759,885.057,880.091,750.068,157.773,0.524,992.391,333.333,4459.770,172.011,806.870,1.173,0.852,0.911
10,10635.487,1,59,591.686,2862.069,4137.931,201.149,126.437,215.323,62.889,29.820,0.382,218.844,2862.069,4241.379,23.199,87.263,3.424,0.292,0.737
11,14863.259,0,82,646.368,2879.310,1321.839,137.931,252.874,254.186,74.451,63.624,0.447,271.091,2913.793,1574.713,68.875,84.450,3.414,0.293,0.842
12,20114.944,0,83,611.885,2781.609,2643.678,143.678,206.897,197.382,129.754,70.288,0.675,218.466,2816.092,2850.575,63.435,143.678,1.521,0.657,0.892
13,44490.688,0,60,1034.285,1040.230,3505.747,298.851,241.379,285.454,198.447,25.026,0.523,313.732,1045.977,3712.644,28.443,211.052,1.438,0.695,0.876
14,26654.777,1,97,694.556,3540.230,3787.356,218.391,189.655,228.716,148.385,142.577,0.694,242.472,3545.977,3816.092,148.570,163.694,1.541,0.649,0.912
15,18661.647,5,67,664.018,3821.839,2057.471,189.655,166.667,166.974,142.302,42.294,0.532,196.582,3821.839,2155.172,15.255,156.802,1.173,0.852,0.826
16,32368.875,4,73,832.487,6270.115,2643.678,201.149,264.368,277.021,148.773,113.026,0.587,293.723,6310.345,2649.425,120.579,179.523,1.862,0.537,0.846
17,95950.593,0,108,1516.705,5850.575,2885.058,465.517,344.828,410.629,297.514,161.533,0.524,516.666,5850.575,2994.253,154.290,336.982,1.380,0.725,0.899
18,16911.086,4,64,617.224,1597.701,3218.391,229.885,114.943,213.349,100.923,171.521,0.558,234.438,1597.701,3258.621,168.690,112.441,2.114,0.473,0.869
19,43863.128,1,83,972.391,4201.150,2431.035,287.356,224.138,276.921,201.676,179.088,0.583,315.621,4224.138,2649.425,33.111,216.071,1.373,0.728,0.870
20,218853.228,0,112,2647.366,2097.701,2890.805,781.609,574.713,774.051,359.993,153.040,0.392,825.068,2132.184,2994.253,153.970,396.942,2.150,0.465,0.825
21,47232.133,5,84,1092.573,1011.494,890.805,356.322,212.644,315.211,190.786,173.452,0.497,367.996,1011.494,959.770,165.530,212.441,1.652,0.605,0.869
22,39866.563,1,86,871.731,5137.931,3890.805,310.345,195.402,292.389,173.603,8.168,0.659,311.195,5137.931,4045.977,4.236,188.994,1.684,0.594,0.882
23,13442.992,1,90,629.535,4954.023,3839.081,160.920,126.437,163.459,104.712,153.117,0.426,183.998,4965.517,3850.575,141.340,123.996,1.561,0.641,0.839
24,15226.583,0,61,603.758,6051.724,3304.598,224.138,155.172,183.963,105.386,155.719,0.525,234.508,6051.724,3321.839,162.897,127.958,1.746,0.573,0.811
25,13112.697,1,55,536.764,2660.920,1810.345,172.414,155.172,143.914,116.011,14.879,0.572,174.792,2660.920,1942.529,9.462,136.139,1.241,0.806,0.788
26,35011.232,0,69,930.597,5011.494,2339.081,235.632,264.368,294.935,151.144,46.591,0.508,328.744,5045.977,2603.448,53.531,184.232,1.951,0.512,0.867
27,11130.929,8,98,504.254,5011.494,5448.276,155.172,155.172,187.825,75.455,52.742,0.550,207.295,5017.242,5597.701,43.877,90.373,2.489,0.402,0.794
28,24408.774,1,62,667.962,4149.425,4350.575,160.920,241.379,230.089,135.070,107.807,0.687,257.340,4201.150,4350.575,113.703,151.676,1.703,0.587,0.907
29,39668.386,11,75,900.298,1373.563,706.897,293.103,195.402,273.647,184.571,170.915,0.615,295.125,1373.563,798.851,173.290,193.712,1.483,0.674,0.907
30,11064.870,1,52,519.931,5994.253,2867.816,143.678,155.172,126.971,110.956,96.646,0.514,158.958,6040.230,2867.816,102.529,130.043,1.144,0.874,0.791
31,4855.331,10,57,265.424,6350.575,431.034,86.207,91.954,81.478,75.873,114.326,0.866,94.784,6379.311,431.034,104.036,77.027,1.074,0.931,0.891
