 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,34166.104,1,95,775.918,1045.875,2730.897,197.554,267.279,252.439,172.325,92.997,0.713,276.224,1150.463,2730.897,104.621,196.809,1.465,0.683,0.871
2,22282.242,0,89,705.025,6240.390,2870.347,244.038,197.554,264.567,107.234,31.574,0.563,275.490,6240.390,3021.418,27.646,127.977,2.467,0.405,0.782
3,32815.665,2,111,797.992,267.279,1185.326,244.038,220.796,254.989,163.859,152.504,0.648,271.042,278.900,1231.809,149.036,181.077,1.556,0.643,0.842
4,25928.427,1,185,876.176,3288.697,2812.243,267.279,302.142,380.176,86.836,134.630,0.424,381.192,3300.318,2812.243,127.569,106.823,4.378,0.228,0.792
5,17015.530,1,86,785.545,6286.874,2126.613,162.692,174.313,167.585,129.277,65.830,0.347,230.081,6286.874,2300.926,45.000,151.010,1.296,0.771,0.708
6,20661.715,0,139,1223.633,4625.094,604.284,337.004,220.796,245.948,106.963,24.249,0.173,346.683,4625.094,708.871,13.570,190.706,2.299,0.435,0.501
7,52532.073,147,161,926.647,4171.881,1894.197,348.625,244.038,308.395,216.884,4.837,0.769,355.529,4171.881,2033.647,11.310,232.653,1.422,0.703,0.905
8,8642.809,1,92,429.629,2847.105,3428.147,174.313,81.346,185.703,59.258,168.807,0.588,183.742,2847.105,3439.768,161.565,66.205,3.134,0.319,0.826
9,9047.941,1,93,385.965,1522.330,4462.402,104.588,139.450,147.712,77.991,61.201,0.763,155.910,1522.330,4601.852,63.435,83.229,1.894,0.528,0.882
10,36326.806,0,88,766.775,3985.948,3486.252,255.658,267.279,294.029,157.306,133.626,0.776,291.217,3985.948,3555.977,151.390,156.126,1.869,0.535,0.910
