 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,35246.455,0,74,1074.072,6124.182,2486.859,429.971,151.071,450.333,99.653,10.767,0.384,435.588,6124.182,2579.826,9.211,113.394,4.519,0.221,0.829
2,27954.085,0,91,633.648,1917.438,2707.655,174.313,220.796,216.132,164.678,74.409,0.875,228.313,1975.543,2928.451,75.256,171.010,1.312,0.762,0.916
3,29709.656,0,101,713.000,6042.836,1080.738,197.554,232.417,198.467,190.599,84.146,0.734,235.017,6170.665,1080.738,98.531,196.809,1.041,0.960,0.875
4,29844.700,1,101,713.000,3509.493,4241.606,185.933,244.038,217.951,174.349,81.362,0.738,248.425,3555.977,4241.606,100.784,184.915,1.250,0.800,0.863
5,16880.486,133,150,587.165,6333.357,2010.405,162.692,197.554,205.910,104.380,129.472,0.615,214.278,6333.357,2045.268,130.601,137.189,1.973,0.507,0.784
6,35516.543,0,104,736.242,2835.485,2696.035,197.554,255.658,245.393,184.280,64.899,0.823,268.288,2916.830,2951.693,72.350,193.785,1.332,0.751,0.916
7,73058.744,0,59,1464.025,337.004,1382.880,592.663,220.796,578.717,160.737,169.597,0.428,611.614,337.004,1394.501,165.700,180.686,3.600,0.278,0.820
8,90479.406,0,49,1279.260,592.663,2091.751,313.763,383.488,395.256,291.462,75.772,0.695,423.005,592.663,2428.755,52.815,301.927,1.356,0.737,0.896
9,109655.638,0,91,1695.758,476.454,1417.742,313.763,534.559,521.491,267.728,93.759,0.479,537.707,615.904,1417.742,96.203,307.141,1.948,0.513,0.885
10,13774.477,1,49,495.366,2056.888,2521.722,139.450,151.071,155.905,112.493,144.962,0.705,183.742,2080.130,2521.722,124.695,131.712,1.386,0.722,0.823
11,13369.345,138,151,504.993,1917.438,2196.338,127.829,174.313,146.769,115.981,74.000,0.659,183.742,1940.680,2370.651,55.305,127.829,1.265,0.790,0.808
12,19176.232,1,103,680.132,1138.842,3160.868,151.071,197.554,190.835,127.943,118.063,0.521,223.531,1162.084,3160.868,117.897,138.149,1.492,0.670,0.833
13,20121.540,1,89,547.489,4543.748,3579.218,162.692,185.933,168.748,151.821,61.538,0.844,198.577,4578.610,3765.152,69.444,157.962,1.111,0.900,0.890
14,16475.354,147,154,566.743,4950.477,2812.243,185.933,151.071,166.708,125.831,146.320,0.645,203.282,4962.098,2812.243,149.036,139.692,1.325,0.755,0.819
15,38487.508,1,152,771.931,4311.331,2266.064,232.417,255.658,256.852,190.786,59.343,0.812,271.042,4381.056,2510.101,59.036,199.945,1.346,0.743,0.902
16,75084.402,0,160,1458.386,1696.642,3974.327,569.421,232.417,621.611,153.795,168.627,0.444,604.284,1696.642,3974.327,157.380,172.231,4.042,0.247,0.855
17,46860.230,0,65,959.516,1452.605,3079.522,313.763,244.038,305.475,195.316,24.233,0.640,338.803,1452.605,3253.835,22.166,217.513,1.564,0.639,0.883
18,13369.345,1,75,465.317,3637.322,3370.043,127.829,162.692,158.163,107.625,105.113,0.776,166.385,3637.322,3381.664,114.775,113.974,1.470,0.680,0.865
