 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,19041.188,0,65,527.067,3997.568,2603.068,174.313,174.313,164.092,147.747,45.470,0.861,180.404,4044.052,2777.380,75.069,155.751,1.111,0.900,0.870
2,34841.323,0,75,726.615,6530.911,2451.997,197.554,244.038,244.413,181.501,90.664,0.829,257.238,6589.015,2451.997,108.435,197.554,1.347,0.743,0.907
3,48615.800,0,165,981.106,1696.642,1464.226,220.796,360.246,350.132,176.789,75.780,0.635,364.902,1812.851,1464.226,99.162,194.507,1.981,0.505,0.866
4,47400.405,1,164,937.442,4357.814,5055.065,244.038,313.763,329.203,183.328,62.958,0.678,339.400,4392.677,5345.586,51.953,204.183,1.796,0.557,0.881
5,50236.327,1,94,890.959,1220.188,2335.789,267.279,278.900,287.992,222.100,132.192,0.795,306.799,1266.671,2347.409,127.304,241.139,1.297,0.771,0.897
6,26738.690,0,71,969.143,2707.655,2242.822,209.175,244.038,245.174,138.860,124.806,0.358,272.285,2730.897,2254.443,129.806,147.534,1.766,0.566,0.794
7,38082.377,0,148,1098.966,6182.286,2068.509,395.109,220.796,379.706,127.699,160.508,0.396,401.214,6182.286,2219.580,169.992,187.498,2.973,0.336,0.705
8,83592.167,0,139,1231.125,6426.324,2928.451,383.488,278.900,410.126,259.513,171.816,0.693,448.420,6426.324,2963.314,148.782,270.328,1.580,0.633,0.902
9,103983.795,0,160,1809.630,4078.914,2277.684,337.004,511.317,477.011,277.554,68.154,0.399,533.167,4171.881,2789.001,73.540,314.130,1.719,0.582,0.855
10,39702.903,1,150,1182.789,4078.914,2533.343,371.867,267.279,372.444,135.728,35.987,0.357,432.476,4078.914,2777.380,30.700,175.610,2.744,0.364,0.733
11,12018.906,0,93,462.498,3532.735,4811.027,104.588,162.692,159.419,95.992,74.873,0.706,169.202,3555.977,4811.027,105.945,104.588,1.661,0.602,0.844
12,20121.540,0,89,600.780,4613.473,2544.964,185.933,185.933,212.499,120.563,46.400,0.701,239.570,4613.473,2730.897,39.094,140.384,1.763,0.567,0.861
13,16475.354,0,111,540.682,5729.073,2998.176,162.692,185.933,162.308,129.242,70.217,0.708,189.174,5752.315,3184.110,79.380,153.805,1.256,0.796,0.850
14,26873.734,0,82,647.263,2405.514,2800.622,197.554,174.313,210.397,162.629,5.881,0.806,223.531,2405.514,2847.105,152.103,167.512,1.294,0.773,0.905
