 ,Area,Min,Max,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,54630.733,0,87,1015.240,3494.253,1091.954,264.368,321.839,351.754,197.746,125.434,0.666,376.206,3511.494,1103.448,124.418,228.249,1.779,0.562,0.896
2,60476.948,1,99,1458.895,1678.161,3649.425,344.828,316.092,369.842,208.202,140.709,0.357,377.958,1706.897,3689.655,134.384,228.352,1.776,0.563,0.862
3,9215.220,0,72,415.666,4982.759,2183.908,109.195,126.437,116.497,100.717,72.008,0.670,131.306,5005.747,2310.345,66.801,109.195,1.157,0.865,0.857
4,137997.100,1,91,1842.628,3850.575,3890.805,563.218,419.540,512.277,342.985,4.705,0.511,564.273,3850.575,4137.931,3.504,411.507,1.494,0.670,0.889
5,76265.032,0,84,1334.431,3229.885,4137.931,390.805,471.264,562.915,172.501,51.812,0.538,534.266,3252.874,4591.954,58.191,180.322,3.263,0.306,0.882
6,36398.469,3,78,1107.434,4706.897,4011.494,287.356,212.644,282.503,164.047,27.028,0.373,320.451,4724.138,4189.655,32.550,203.897,1.722,0.581,0.786
7,329733.138,0,77,3306.384,775.862,3793.104,718.391,839.080,791.444,530.460,117.457,0.379,936.799,902.299,3862.069,126.518,620.287,1.492,0.670,0.810
8,43565.863,0,90,1038.468,3701.150,3063.218,275.862,247.126,261.876,211.817,29.135,0.508,285.800,3701.150,3195.402,15.154,216.736,1.236,0.809,0.879
9,97337.830,0,73,1987.532,4712.644,2580.460,488.506,534.483,576.255,215.069,54.660,0.310,563.717,4816.092,3097.701,66.571,250.208,2.679,0.373,0.757
10,25399.658,0,57,647.763,1879.310,3000.000,229.885,172.414,206.537,156.582,175.428,0.761,235.632,1879.310,3040.230,167.320,172.259,1.319,0.758,0.910
11,17175.321,1,82,570.669,6195.402,3804.598,143.678,189.655,174.358,125.422,92.148,0.663,191.043,6241.379,3994.253,68.839,139.940,1.390,0.719,0.863
12,118476.687,1,109,1617.942,6028.736,3666.667,551.724,339.080,557.097,270.777,7.517,0.569,556.760,6028.736,3862.069,7.712,282.928,2.057,0.486,0.887
13,41947.419,0,72,1032.312,3379.310,1402.299,270.115,293.103,286.764,186.248,128.698,0.495,305.950,3402.299,1419.540,118.009,226.329,1.540,0.649,0.801
14,13409.962,1,77,498.915,2632.184,5425.287,166.667,126.437,160.395,106.451,159.676,0.677,169.126,2632.184,5454.023,170.218,114.340,1.507,0.664,0.885
15,15292.642,0,65,872.787,4281.609,1160.920,241.379,264.368,331.409,58.753,45.080,0.252,354.137,4281.609,1425.287,48.289,83.445,5.641,0.177,0.690
16,14962.347,1,94,754.817,4080.460,1293.103,149.425,160.920,147.616,129.056,112.422,0.330,167.359,4143.678,1293.103,105.945,139.088,1.144,0.874,0.833
17,10833.664,6,63,432.499,695.402,4454.023,132.184,109.195,136.206,101.272,6.698,0.728,142.756,712.644,4557.471,40.101,108.859,1.345,0.744,0.885
18,36728.764,1,77,834.460,1172.414,3666.667,235.632,264.368,298.256,156.793,51.335,0.663,318.642,1206.897,3919.540,50.856,178.809,1.902,0.526,0.901
19,24177.568,0,63,670.173,4850.575,1528.736,235.632,178.161,227.787,135.143,161.444,0.676,237.378,4850.575,1626.437,173.047,143.983,1.686,0.593,0.898
20,50601.139,0,156,2012.154,5775.862,1850.575,373.563,344.828,391.368,164.621,136.895,0.157,403.324,5850.575,1856.322,122.784,190.845,2.377,0.421,0.761
21,13244.815,1,90,469.771,2649.425,3908.046,126.437,160.920,165.073,102.160,119.587,0.754,177.511,2678.161,3913.793,119.055,109.891,1.616,0.619,0.916
